SMILES,ALPHA
*CCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)c(C)c2)cc1C,38.341
*Oc1ccc(C2(c3ccc(OC(*)=O)cc3)c3ccccc3-c3ccccc32)cc1,45.426
*CCCCCCCCCCNC(=O)c1cccc(C(=O)N*)c1,35.46
*CC(*)(C)C(=O)OCCCCn1c2ccccc2c2ccccc21,37.108
*CCN(*)C(=O)CCCCCCCCCCCC,28.521
*CCCCCCCCCCOC(=O)c1ccc(NC(=O)O*)cc1,35.882
*C(=O)NCCCCCCCCCCNC(=O)c1ccc(*)o1,31.841
*CCOC(=O)c1ccc(C2(C)CC(C)(C)c3ccc(C(=O)O*)cc32)cc1,40.183
*Oc1ccc(C2(c3ccc(OC(*)=O)c(C)c3)CC3CCC2C3)cc1C,38.023
*/C=C/c1ccc(*)c(C(=O)OC(C)(C)C)c1C(=O)OC(C)(C)C,33.925
*CCCCCCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O,44.788
*c1cc(CCCCCCCCCCCCC)c(*)s1,31.896
*/C=C/C(C)C(*)C(=O)OCCN(C)c1ccc(N(C)C)cc1,34.334
*CCCCCCCCCNC(=O)c1cccc(C(=O)N*)c1,33.464
*c1ccc(NC(=O)CCCCCCCCC(=O)NS(*)(=O)=O)cc1,34.82
*CC(O)CCCCC(O)CN(*)c1ccc(N(C)C)cc1,32.839
*CCOCCOCCOC(=O)CCCCCCCC(=O)O*,29.945
*CC(*)CCCCCCCCCCCCCC,28.513
*CC(*)(C)C(=O)OCCCCCCCCCCCC,29.526
*CCCCCC(*)CCCCCCCCCC,28.717
*Cc1ccc(CN(C)C(=O)CCCCCCC(=O)N(*)C)cc1,34.656
*CCCCCCCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,35.574
*CC1CCC(COC(=O)CCCCCCCC(=O)O*)CC1,31.504
*CC(*)C(=O)OC(CCC(CC)CCCC)CC(C)C,31.041
*Oc1ccc(C(*)=O)cc1CCCCCCCCCCCC,34.298
*Cc1c(C)c(C)c(CNC(=O)CCCCC(=O)N*)c(C)c1C,35.427
*CC(*)(C)C(=O)OCCOc1ccc(/N=N/c2ccc(OC)cc2)cc1,42.772
*Oc1ccc(C2(c3ccc(OC(*)=O)cc3)CC(C)CC(C)(C)C2)cc1,38.967
*CCCCOC(=O)c1ccc(C(C)(CC)c2ccc(C(=O)O*)cc2)cc1,41.078
*CC(*)C(=O)OCCCCCCCCCCCCCC,31.673
*/C=C/c1cc(CC(CC)CCCC)c(*)cc1CCCC,35.494
*CC(COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1)OC(C)=O,36.813
*/C=C/c1cc(OCC2CC3CC2C2CCCC32)c(*)cc1OC,35.587
*Cc1ccc(COC(=O)CCCCSCCCCC(=O)O*)cc1,36.443
