SMILES,BULK
CC1(C)CC(CC(C)(C*)C1)N1C(=O)C2=CC=C(C=C2C1=O)C1=CC2=C(C=C1)C(=O)N(*)C2=O,4.609
*N1C(=O)C2=C(C=C(C=C2)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=C3C=CC=C(*)C3=CC=C2)C1=O,6.656
*N1C(=O)C2=C(C=C(C=C2)C(=O)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C3OCCOCCOC4=C(OCCOCCOC3=C2)C=CC(*)=C4)C1=O,5.978
FC(F)(F)C(C1=CC2=C(OC(=N2)C2=CC=C(OC3=C4C5C6=C(C=CC=C6)C(C6=C5C=CC=C6)C4=C(OC4=CC=C(*)C=C4)C=C3)C=C2)C=C1)(C1=CC=C2OC(*)=NC2=C1)C(F)(F)F,3.718
CC1(C)CC(C)(C2=CC(=CC=C12)N1C(=O)C2=CC=C(C=C2C1=O)C(=O)C1=CC2=C(C=C1)C(=O)N(*)C2=O)C1=CC=C(*)C=C1,4.307
*C*,4.538
*CC(*)C,3.77
*CC(*)CC,3.255
*CC(*)CCC,2.986
*CC(*)C(C)C,3.293
*CC(*)CCCC,2.952
*CC(*)CC(C)C,2.961
*CC(*)CCCCC,2.986
*CC(*)CCC(C)C,3.28
*CC(*)CCC(C)CC,3.735
*CC(*)CCCCCCC,3.522
*CC(*)CCCCCCCC,3.809
*CC(*)(C)C,2.771
*CC(*)(C)CC,2.663
*CCC(*)(C)C,4.013
*CC(C)C(*)(C)C,2.87
*CCCC(*)(C)C,4.409
*CCCC(*)(C)CC,4.176
*CCCCCCCC(*)C,4.406
*CC(*)C1CC1,3.639
*CC(*)CC1CCCCC1,3.834
*CC1CCC(*)C1,5.92
*CC(*)CCCCCCCCCC,3.622
*CC(*)CCCCCCCCCCCC,3.945
*CC(*)CCCCCCCCCCCCCCCC,4.422
*CC(*)C(C)CC,3.54
*CC(*)CC(C)CC,2.774
*CC(*)CC(C)(C)C,1.814
*/C=C/CCC*,3.767
*/C=C/CC*,3.239
*/C=C/CC*,3.204
*/C=C/CCCCCCCC*,3.862
*CC(*)CCCCCCCCCCCCCCCCCCCC,4.542
*/C=C/CCCCCCCCCC*,4.049
*CC(*)CCCCCCCCCCCCCC,4.164
*/C=C/CCCCCC*,3.744
*CC(*)CCCCCCCCCCCCC,4.292
*CC(*)CCCCCCCCCCC,3.972
*CC(*)CCCCCCCCC,3.934
*CC(*)C1CC=CCC1,1.807
*C1CCC1*,3.921
*/C=C/*,2.988
*/C=C/CCCCC*,3.728
*/C=C/C(C*)C(C)CC,3.52
*/C=C/CCCCCCCCCC*,4.116
*/C=C/*,3
*CC1(*)CCCCC1,3.672
*CC/C=C(/*)C(C)(C)C,3.101
*CC(*)c1ccccc1,3.881
*CC(*)c1ccccc1C,2.895
*CC(*)c1ccccc1CC,2.589
*CC(*)c1ccccc1COC,3.779
*CC(*)c1ccccc1COCC,3.741
*CC(*)c1ccccc1COCCC,3.487
*CC(*)c1ccccc1COC(C)C,2.886
*CC(*)c1ccccc1COCCCC,3.428
*CC(*)c1ccccc1COCCCCC,3.419
*CC(*)c1ccccc1COCCC(C)C,3.903
*CC(*)c1ccccc1COCc1ccccc1,3.778
*CC(*)c1ccccc1COCCc1ccccc1,4.353
*CC(*)c1ccccc1C(=O)NC,4.293
*CC(*)c1ccccc1C(=O)N(C)C,3.155
*CC(*)c1ccccc1C(=O)Nc1ccccc1,3.364
*CC(*)c1ccccc1C(=O)O,4.705
*CC(*)c1ccccc1C(=O)OC,5.011
*CC(*)c1ccccc1C(=O)OCC,5.003
*CC(*)c1ccccc1C(=O)OCCC,3.778
*CC(*)c1ccccc1C(=O)OC(C)C,2.806
*CC(*)c1ccccc1C(=O)OCCCC,3.518
*CC(*)c1ccccc1C(=O)OCC(C)C,3.823
*CC(*)c1ccccc1C(=O)OCCCCC,3.94
*CC(*)c1ccccc1C(=O)OCCC(C)C,3.691
*CC(*)c1ccccc1C(=O)OCCCCCC,3.986
*CC(*)c1ccccc1C(=O)Oc1ccccc1,3.142
*CC(*)c1ccccc1C(=O)OCCN(C)C,4.954
*CC(*)c1ccc(C(=O)OCCN(C)C)cc1,4.731
*CC(*)c1cccc(C)c1,1.426
*CC(*)c1cccc(CC)c1,2.869
*CC(*)c1cccc(-c2ccc(-c3ccccc3)cc2)c1,6.774
*CC(*)c1cccc(Cl)c1,3.42
*CC(*)c1cccc(F)c1,2.176
*CC(*)c1ccc(C)cc1,4.235
*CC(*)c1ccc(C(C)C)cc1,4.116
*CC(*)c1ccc(CCCC)cc1,3.912
*CC(*)c1ccc(C(C)(C)C)cc1,3.628
*CC(*)c1ccc(C(C)CC)cc1,4.599
*CC(*)c1ccc(CCCCCC)cc1,4.337
*CC(*)c1ccc(CCCCCCCC)cc1,4.533
*CC(*)c1ccc(CCCCCCCCC)cc1,4.54
*CC(*)c1ccc(CCCCCCCCCC)cc1,4.263
*CC(*)c1ccc(CCCCCCCCCCCC)cc1,4.875
*CC(*)c1ccc(CCCCCCCCCCCCCC)cc1,4.504
*CC(*)c1ccc(CCCCCCCCCCCCCCCC)cc1,4.718
*CC(*)c1ccc(CCCCCCCCCCCCCCCCCC)cc1,4.927
*CC(*)c1ccc(-c2ccccc2)cc1,5.414
*CC(*)c1ccc(Cl)cc1,4.53
*CC(*)c1ccc(/C(C)=N/O)cc1,4.953
*CC(*)c1ccc(C(C)(C)O)cc1,4.42
*CC(*)c1ccc(COC)cc1,4.038
*CC(*)c1ccc(COCCC)cc1,3.883
*CC(*)c1ccc(COCCCCCC)cc1,4.066
*CC(*)c1ccc(COCCOCCCC)cc1,4.406
*CC(*)c1ccc(C(=O)N(C)C)cc1,4.941
*CC(*)c1ccc(C(=O)N(CC)CC)cc1,5.198
*CC(*)c1ccc(C(=O)N2CCCCC2)cc1,3.407
*CC(*)c1ccc(C(=O)CCN2CCCCC2)cc1,6.472
*CC(*)c1ccc(C(=O)N2CCOCC2)cc1,6.445
*CC(*)c1ccc(C(=O)OC)cc1,4.512
*CC(*)c1ccc(F)cc1,3.504
*CC(*)c1ccc(I)cc1,5.178
*CC(*)c1ccc(N(C)C)cc1,5.65
*CC(*)c1ccc(OCC)cc1,3.911
*CC(*)c1ccc(OCCC)cc1,3.252
*CC(*)c1ccc(OCCCC)cc1,3.604
*CC(*)c1ccc(OCCC(C)C)cc1,3.551
*CC(*)c1ccc(C)cc1C,2.667
*CC(*)c1ccc(C(C)C)cc1C(C)C,2.743
*CC(*)c1ccc(F)cc1C,2.456
*CC(*)c1ccc(Cl)cc1C,3.443
*CC(*)c1ccc(Cl)cc1Cl,4.031
*CC(*)c1cc(C)ccc1C,4.649
*CC(*)c1cc(C(C)(C)C)ccc1C,3.677
*CC(*)c1cc(C(C)C)ccc1C(C)C,2.642
*CC(*)c1cc(Cl)ccc1Cl,1.219
*CC(*)c1cc(F)ccc1F,5.503
*CC(*)c1cc(C)ccc1F,5.666
*CC(*)c1cc(Br)ccc1OCCCC,4.624
*CC(*)c1cc(Br)ccc1OCC,5.211
*CC(*)c1cc(C)cc(C)c1,2.337
*CC(*)c1c(F)c(F)c(F)c(F)c1F,5.839
*CC(*)(C)c1ccccc1,1.914
*CC(*)(C)c1ccc(C(C)C)cc1,3.938
*C(F)(F)C(*)(F)c1ccccc1,5.878
*CC(*)c1cccc2ccccc12,2.793
*CC(*)c1ccc(C(C)=O)cc1,4.724
*CC(*)(C(=O)OC)c1ccccc1,3.063
*CC(*)(C)c1ccc(C)cc1,4.312
*CC(*)n1cc2ccccc2n1,4.943
*CC(c1ccccn1)C(c1ccccc1)C(*)c1ccccn1,3.12
*CC(*)c1ccc(O)cc1,3.694
*CC(*)c1ccc(OC(C)=O)cc1,3.096
*CC(*)c1ccc(CCC)cc1,4.395
*CC(*)c1ccc(COCCCCCCOc2ccc(-c3ccc(OC)cc3)cc2)cc1,5.722
*CC(*)c1ccc(COCC(CC)CCCC)cc1,3.895
*CC(*)c1ccc(COCCOCCCCCCCC)cc1,4.828
*CC(CC(*)(C#N)C(=O)OC)c1ccccc1,3.974
*CC(*)c1ccc(C(=O)O)c(C(=O)O)c1,5.03
*C([2H])([2H])C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],3.734
*CC(*)O,5.333
*CC(*)C=O,5.496
*CC(*)OC(=O)CCCCCCCCCCC,4.116
*CC(*)OC(=O)CCCCCCCCCCCCCCC,3.97
*CC(*)OC(=O)CCCCCCCCCCCCCCCCC,4.349
*CC(*)C(C)=O,3.319
*CC(*)C(=O)C(C)C,3.184
*CC(*)(C)C(C)=O,4.084
*CC(*)C#N,4.504
*CC(*)(C)C#N,5.256
*CC(*)c1ccccn1,3.829
*CC(*)n1c2ccccc2c2ccccc21,3.418
*CC(*)OC,3.777
*CC(*)OCC,3.53
*CC(*)OC(C)=O,2.838
*CC(*)OC(=O)CC,3.43
*CC(*)OC(=O)c1ccccc1,2.066
*CC(*)CCCN(CC(C)C)CC(C)C,3.884
*CC(*)O[N+](=O)[O-],5.374
*/C=C/C(C)C(*)C(=O)OC,3.271
*CC(*)OC(C)C,2.539
*CC(*)CCc1ccccc1C,4.243
*CC(*)CCc1ccc(C)cc1,4.701
*CC(*)Cc1cc(C)ccc1C,4.38
*CC(*)Cc1ccc(C)c(C)c1,2.893
*CC(*)Cc1cc(C)cc(C)c1,3.367
*CC(*)C(=O)C1CCCCC1,3.853
*CC(*)C(=O)c1ccccc1O,4.454
*CC/C=C(/*)c1ccccc1,3.687
*CC(*)C(=O)c1ccc(C(C)(C)C)cc1,4.154
*CC(*)C(=O)c1ccc(CC)cc1,5.136
*CC(*)C(=O)c1ccc(C)cc1,5.315
*CC(*)OC(=O)c1ccc(OC(=O)CCC)cc1,2.807
*CC(*)OC(=O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,2.645
*CC(*)c1cccs1,3.162
*C1Cc2ccccc2C1*,3.913
*CCC/C=C(/*)c1ccc(OC)cc1,5.572
*CCC/C=C(/*)c1ccccc1,3.664
*CCC/C=C(/*)c1ccc(Cl)cc1,6.086
*CC(*)CNc1ccc([N+](=O)[O-])cc1,4.461
*CC(*)CNc1ccc([N+](=O)[O-])cn1,4.174
*CC(*)CNc1ccc([N+](=O)[O-])cc1C,5.222
*CC(*)CNc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,3.764
*CC(*)CNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],5.656
*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1OC(=O)CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,6.217
*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1,6.008
