SMILES,CP
*C*,1902.8832
*CC(*)C,1849.328
*CC(*)CCCC,2129.656
*CC(*)CC(C)C,1761.0456
*CC(*)(C)C,1966.48
*/C=C/CC*,2831.3128
*/C=C/CC*,1861.88
*CC(*)c1ccccc1,1239.7192
*CC(*)C#N,1292.856
*CC(*)OC(C)=O,1428.4176
*CC(*)OC(=O)c1ccccc1,1103.3208
*C#C/C(COS(=O)(=O)c1ccc(C)cc1)=C(/*)COS(=O)(=O)c1ccc(C)cc1,979.056
*CC(*)OC(=O)c1ccc(C(C)(C)C)cc1,1338.0432
*CC(*)OC(=O)c1ccc(CC)cc1,1240.9744
*CC(*)OC(=O)c1ccc(C(C)C)cc1,1245.9952
*CC(*)(CC(=O)OCCCCCCC)C(=O)OCCCCCCC,1727.992
*CC(*)C(=O)OC,1794.936
*CC(*)C(=O)OCC,1790.3336
*CC(*)C(=O)OCCCC,1810.8352
*CC(*)C(=O)OCC(C)C,1809.58
*CC(*)(C)C(=O)O,1306.2448
*CC(*)(C)C(=O)OC,1320.4704
*CC(*)(C)C(=O)OCC,1465.6552
*CC(*)(C)C(=O)OCCCC,1810.4168
*CC(*)(C)C(=O)OCC(C)C,1605.8192
*CC(*)(C)C(=O)OCCCCCC,1891.168
*CC(*)(C)C(=O)OCCCCCCCCCCCC,2122.5432
*CC(*)(C)C(=O)OCC1CO1,1619.208
*CC(*)F,1299.132
*CC(*)Cl,928.848
*CC(*)(F)F,1241.3928
*C(F)C(*)(F)F,1245.9952
*C(*)(F)F,1274.8648
*C(F)(F)C(*)(F)Cl,861.904
*CC/C=C(/*)C,1859.788
*CC(*)C=C,2008.32
*CC/C(C)=C(/*)C,1966.48
*CO*,1297.04
*CCO*,1380.72
*CCCO*,1380.72
*CC(CCl)(CCl)CO*,1159.3864
*CCCCO*,1506.24
*CCCCCCCCO*,1589.92
*Oc1ccc(*)cc1,1179.888
*Oc1c(C)cc(*)cc1C,1245.9952
*Oc1c(OC)cc(*)cc1OC,1277.3752
*CCOCO*,1380.72
*CCCCOCO*,1380.72
*c1ccc(Oc2ccc(-c3nc4cc(-c5ccc6nc(-c7ccccc7)c(*)nc6c5)ccc4nc3-c3ccccc3)cc2)cc1,1245.9952
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1,1359.8
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,967.7592
*Oc1ccc(NC(=O)c2cc(C(=O)Nc3ccc(*)cc3)c(C(=O)O)cc2C(=O)O)cc1,1418.376
*Sc1ccc(*)cc1,999.976
*CCOC(=O)c1ccc(C(=O)O*)cc1,1098.7184
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,1238.464
*CCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,1095.7896
*CCCCCCCCCCCCC(=O)O*,1790.752
*CCCOC(=O)c1ccc(C(=O)O*)cc1,1216.7072
*Nc1cccc(NC(=O)c2cccc(C(*)=O)c2)c1,1179.888
*Nc1ccc(NC(=O)c2cccc(C(*)=O)c2)cc1,1150.6
*Nc1cccc(NC(=O)c2ccc(C(*)=O)cc2)c1,1150.6
*NC(C)C(*)=O,1793.2624
*NC(CCSC)C(*)=O,1209.176
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,1105.4128
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,1203.7368
*CCCCCC(*)CCCCCCCC,2317.936
*CCCCCC(*)CCCCCCCCCC,2167.312
*CC(*)[Si](C)(C)C,1794.936
*CC(*)(CC(=O)OCCCCCCCC)C(=O)OCCCCCCCC,1807.488
*CC(*)(CC(=O)OCCCCCCCCC)C(=O)OCCCCCCCCC,1799.12
*CC(*)(CC(=O)Oc1ccc(OCCCCCCC)cc1)C(=O)Oc1ccc(OCCCCCCC)cc1,1288.672
*CC1=CC2C(=NC(O2)c2cccc(c2)C2N=C3C(O2)C=C(C=C3)*)C=C1,995.792
*Oc1ccc(c(c1)NC(=O)C1C(C(=O)O)C2C1C1C=CC2C(C1C(=O)O)C(=O)Nc1cc(*)ccc1N)N,1361.0552
*C1C=C(CCCCCC)C(*)S1,1079.472
*Nc1cc(Cc2ccc(O)c(NC(=O)c3ccc(C(*)=O)cc3)c2)ccc1O,1317.96
*Nc1ccccc1NC(=O)c1cccc(C(*)=O)c1,1230.096
*Nc1ccccc1NC(=O)c1ccc(C(*)=O)cc1,1209.176
*c1nnc(-c2cccc(-c3nnc(-c4ccccc4NC(=O)c4ccc(C(=O)Nc5ccccc5*)cc4)[nH]3)c2)[nH]1,1046.4184
*NC(CO)C(*)=O,1230.096
*CCCNC(=O)O*,1453.94
*Nc1ccc(*)cc1,1003.7416
*c1cccc(-c2nnc3c4ccccc4nc(-c4ccc(-c5nc6ccccc6c6nnc(*)n56)cc4)n23)c1,991.608
*CC(*)CC,1987.8184
*CC(*)CCC,2052.6704
*/C=C/CCC*,1944.7232
*/C=C/CC*,1953.928
*CC(*)(C)c1ccccc1,1268.1704
*CC(*)O,1530.9256
*CC(*)C(=O)O,1742.2176
*CC(*)(Cl)Cl,856.8832
*CC(O)COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1,1506.24
*c1ccc(C2(c3ccc(-c4nnc(-c5ccc(-c6nnc(*)o6)cc5)o4)cc3)OC(=O)c3ccccc32)cc1,1041.816
*CC(=O)O*,2300.3632
*CCCC(=O)O*,1368.168
*CCCCC(=O)O*,1359.8
*CCCCCC(=O)O*,1414.192
*CCCCCCCCCCC(=O)O*,1518.792
*CCCCCCCCCCCCCCC(=O)O*,1535.528
*CCCCCCC(=O)O*,1443.48
*CCCCCCCC(=O)O*,1468.584
*CCCCCCCCC(=O)O*,1485.32
*CCCCCCCCCC(=O)O*,1778.2
*CCCCCCCCCCCC(=O)O*,1761.464
*CCCCCCCCCCCCCC(=O)O*,1748.912
*CCC(=O)O*,1234.28
*CCCCCCNC(=O)CCCCC(=O)N*,1782.46768
*O[Si](*)(C)C,1589.92
*CC(C)S(*)(=O)=O,1158.5496
*CC(*)[Si](C)(C)c1ccccc1,1422.56
*CC(*)(C)C(=O)OC(OCC)C(F)(F)F,1214.1968
*CC(C)(C)C1CC=C(*)CC1,2188.232
*c1ccc(Oc2ccc(-c3cc(-c4ccccc4)c4cc5c(-c6ccccc6)cc(*)nc5cc4n3)cc2)cc1,1380.72
*c1ccc(C(=O)NNC(=O)c2ccc(C(=O)NNC(=O)c3ccc(C4(*)OC(=O)c5ccccc54)cc3)cc2)cc1,1096.208
*CC(C)CNC(=O)O*,1509.1688
*Cc1cc(C(C)(C)c2ccc3c(c2)CN(C)CO3)cc(CN(*)C)c1O,1089.0952
*/C=C/[Si](*)(c1ccccc1)c1ccccc1,506.264
*/C=C/[Ge](/C=C/[Si](*)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,1228.004
*CC(S(=O)(=O)*)CC,1221.728
CCCCC(S(=O)(=O)*)C*,1413.3552
*/C=C/[Ge](*)(c1ccccc1)c1ccccc1,439.32
