SMILES,CP
*C*,1807.36
*CC(*)C,1815.44
*CC(*)CC,1813.42
*CC(*)CCC,1812.21
*CC(*)C(C)C,1817.05
*CC(*)CCCC,1811.4
*CC(*)CC(C)C,1815.44
*CC(*)CCCCC,1810.82
*CC(*)CCC(C)C,1814.28
*CC(*)CCC(C)CC,1813.42
*CC(*)CCCCCCC,1810.05
*CC(*)CCCCCCCC,1809.78
*CC(*)(C)C,1829.28
*CC(*)(C)CC,1824.9
*CCC(*)(C)C,1824.9
*CC(C)C(*)(C)C,1826.01
*CCCC(*)(C)C,1821.97
*CCCC(*)(C)CC,1819.89
*CCCCCCCC(*)C,1810.05
*CC(*)C1CC1,1571.63
*CC(*)C1CCC1,1611.88
*CC(*)C1CCCC1,1640.39
*CC(*)CC1CCCC1,1661.65
*CC(*)C1CCCCC1,1661.65
*CC(*)CC1CCCCC1,1678.1
*CC(*)Cc1ccccc1,1338.75
*CC(*)CCc1ccccc1,1388.47
*CC(*)C(C)c1ccccc1,1391.04
*CC1CCC(*)C1,1611.88
*CC(*)CCCCCC,1810.39
*CC(*)CCCCCCCCCC,1809.38
*CC(*)CCCCCCCCCCCC,1809.09
*CC(*)CCCCCCCCCCCCCCCC,1808.7
*CC(*)CCCC(C)C,1813.42
*CC(*)C(C)CC,1815.44
*CC(*)C(CC)CC,1814.28
*CC(*)CC(CC)CC,1813.42
*CC(*)CC(C)CC,1814.28
*CC(*)CC(C)(C)C,1823.35
*CC(*)CC(C)(C)CC,1821.35
*CC(*)CCCC(C)(C)C,1819.79
*CC(*)CCC1CCCCC1,1691.21
*CC(*)CCCC1CCCCC1,1701.91
*CC1(*)CCC(C)CC1,1669.72
*CC(*)(C)CCC,1821.97
*/C=C/CCC*,1929.85
*/C=C/CC*,1961.62
*/C=C/CC*,1961.62
*/C=C/CC*,1961.62
*C(*)C,1819.48
*/C=C/*,2127.82
*CCC(C)C(*)C,1815.44
*CCC1CCCC1*,1640.39
*/C=C/CCCCCCCC*,1867.71
*CC(*)CCCCCCCCCCCCCCCCCCCC,1808.46
*/C=C/CCCCCCCCCC*,1857.53
*CC(*)CCCCCCCCCCCCCC,1808.87
*/C=C/CCCCCC*,1883.08
*/C=C/CCC*,1929.85
*CC(*)C(C)(C)C,1826.01
*/C=C/CCCC*,1908.94
*CC(*)CCCCCCCCCCCCC,1808.97
*C(*)CC,1815.44
*CC(*)CCCCCCCCCCC,1809.22
*CC(*)CCCCCCCCC,1809.56
*CC(*)C1CCCC(C)C1,1680.84
*CC(*)C1CCC(C)CC1,1680.84
*CC(*)C1CC=CCC1,1736.06
*CC/C=C(/*)CCCCCCC,1816.12
*CC/C=C(/*)C(C)C,1824.76
*/C=C/CCC*,1929.85
*CC(*)CCC(C)(C)C,1821.35
*C1CCC1*,1510.5
*/C=C/*,2127.82
*/C=C/CCCCC*,1894.12
*/C=C/C1CCC(*)C1,1725.44
*/C=C/C(C*)C(C)CC,1889.25
*CC/C=C(/*)CCC,1821.23
*/C=C/CCCCCCCCCC*,1857.53
*/C=C/*,2127.82
*CC1(*)CCCCC1,1646.11
*/C=C/C(C)CCCCC*,1877.26
*CC/C=C(/*)C(C)(C)C,1830.62
*CC(*)c1ccccc1,1275.64
*CC(*)c1ccccc1C,1365.74
*CC(*)c1ccccc1CC,1412.6
*CC(*)c1ccccc1COC,1435.4
*CC(*)c1ccccc1COCC,1467.56
*CC(*)c1ccccc1COCCC,1494.6
*CC(*)c1ccccc1COC(C)C,1496.53
*CC(*)c1ccccc1COCCCC,1517.65
*CC(*)c1ccccc1COCCCCC,1537.54
*CC(*)c1ccccc1COCCC(C)C,1539.21
*CC(*)c1ccccc1COCc1ccccc1,1313.18
*CC(*)c1ccccc1COCCc1ccccc1,1342.26
*CC(*)c1ccccc1C(=O)NC,1280.04
*CC(*)c1ccccc1C(=O)N(C)C,1396.73
*CC(*)c1ccccc1C(=O)Nc1ccccc1,1177.08
*CC(*)c1ccccc1C(=O)O,1186.94
*CC(*)c1ccccc1C(=O)OC,1324.21
*CC(*)c1ccccc1C(=O)OCC,1362.67
*CC(*)c1ccccc1C(=O)OCCC,1395.45
*CC(*)c1ccccc1C(=O)OC(C)C,1397.24
*CC(*)c1ccccc1C(=O)OCCCC,1423.74
*CC(*)c1ccccc1C(=O)OCC(C)C,1425.4
*CC(*)c1ccccc1C(=O)OCCCCC,1448.39
*CC(*)c1ccccc1C(=O)OCCC(C)C,1449.95
*CC(*)c1ccccc1C(=O)OCCCCCC,1470.06
*CC(*)c1ccccc1C(=O)Oc1ccccc1,1209.48
*CC(*)c1ccccc1C(=O)OCCN(C)C,1450.68
*CC(*)c1ccc(C(=O)OCCN(C)C)cc1,1450.68
*CC(*)c1ccccc1OC,1396.51
*CC(*)c1ccccc1Cl,1103.65
*CC(*)c1ccccc1F,1299.04
*CC(*)c1cccc(C)c1,1365.74
*CC(*)c1cccc(CC)c1,1412.6
*CC(*)c1cccc(-c2ccc(-c3ccccc3)cc2)c1,1181.49
*CC(*)c1cccc(Cl)c1,1103.65
*CC(*)c1cccc(F)c1,1299.04
*CC(*)c1ccc(C)cc1,1365.74
*CC(*)c1ccc(CC)cc1,1412.6
*CC(*)c1ccc(C(C)C)cc1,1452.79
*CC(*)c1ccc(CCCC)cc1,1481.7
*CC(*)c1ccc(C(C)(C)C)cc1,1489.38
*CC(*)c1ccc(C(C)CC)cc1,1483.83
*CC(*)c1ccc(CCCCCC)cc1,1530.22
*CC(*)c1ccc(CCCCCCCC)cc1,1566.15
*CC(*)c1ccc(CCCCCCCCC)cc1,1580.84
*CC(*)c1ccc(CCCCCCCCCC)cc1,1593.84
*CC(*)c1ccc(CCCCCCCCCCCC)cc1,1615.82
*CC(*)c1ccc(CCCCCCCCCCCCCC)cc1,1633.7
*CC(*)c1ccc(CCCCCCCCCCCCCCCC)cc1,1648.53
*CC(*)c1ccc(CCCCCCCCCCCCCCCCCC)cc1,1661.02
*CC(*)c1ccc(-c2ccccc2)cc1,1208.69
*CC(*)c1ccc(COCCOCC)cc1,1525.88
*CC(*)c1ccc(C#N)cc1,1167.97
*CC(*)c1ccc(Cl)cc1,1103.65
*CC(*)c1ccc(Br)cc1,1115.03
