SMILES,DC
*C*,2.29
*CC(*)c1ccccc1,2.97
*CC(*)O,3.9
*C1Cc2ccccc2C1*,3.8
*CC(*)C(=O)OC1CC2CCC1(C)C2(C)C,3.42
*CC(*)(C)C(=O)OC,4.88
*CC(*)(C)C(=O)OCC,3.61
*CC(*)(C)C(=O)OCCCC,2.8
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCCC,3
*CC(*)Cl,5.56
*CC(*)(F)F,13.8
*C(*)(F)F,2.05
*CO*,3.535
*CCO*,6
*CC(C)O*,8.6
*CC1CC(*)OC(CCC)O1,5.6
*CCOC(=O)c1ccc(C(=O)O*)cc1,3.1
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,2.95
*CCCCCCOC(=O)c1ccc(C(=O)O*)cc1,2.9
*CCCCCCCCCCOC(=O)c1ccc(C(=O)O*)cc1,2.61
*CCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,3.13
*Nc1ccc(Cc2ccc(NC(*)=O)cc2)cc1,3.29
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,3.17
*c1ccc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)cc1,3.55
*c1ccc2c(c1)C(=O)N(c1cccc(Oc3cccc(Oc4cccc(N5C(=O)c6ccc(C(*)(C(F)(F)F)C(F)(F)F)cc6C5=O)c4)c3)c1)C2=O,2.71
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,3.15
*c1ccc(Oc2ccc(N3C(=O)c4ccc(Oc5ccc(C(c6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6)(C(F)(F)F)C(F)(F)F)cc5)cc4C3=O)cc2)cc1,2.63
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,3.4
*=C=C=C(COS(=O)(=O)c1ccc(C)cc1)C(=*)COS(=O)(=O)c1ccc(C)cc1,6.8
*CC(*)(C)C(=O)OCCCCCCN(C)c1ccc(/N=N/c2ccc(S(C)(=O)=O)cc2)cc1,4.3
*OC(C)CCOC(=O)C(CCCCCCOc1ccc(/N=C/c2ccc([N+](=O)[O-])cc2)cc1)C(*)=O,11.6
*CCCCCCS(=O)(=O)c1ccc(/N=N/c2ccc(N(C)CCCCCC(=O)O*)cc2)cc1,4
*CCCS(=O)(=O)c1ccc(/N=N/c2ccc(N(CCCC)CC(=O)O*)cc2)cc1,3.9
*c1ccc2c(c1)C(=O)N(c1cccc(S(=O)(=O)c3cccc(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c3)c1)C2=O,2.86
*c1ccc(-c2ccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2C)c(C)c1,2.82
*C(=O)c1ccc2c(c1)C(=O)N(c1cccc(S(=O)(=O)c3cccc(N4C(=O)c5ccc(*)cc5C4=O)c3)c1)C2=O,8.5
*c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc(C(*)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C)cc5C4=O)cc3)cc1)C2=O,2.8
*c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc(C(*)O)cc5C4=O)cc3)cc1)C2=O,3.4
*c1ccc(N2C(=O)CC(C3C=C(C)C4C(=O)N(*)C(=O)C4C3)C2=O)cc1,2.941
*c1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccc(C(c8ccc(Oc9ccc%10c(c9)C(=O)N(*)C%10=O)cc8)(C(F)(F)F)C(F)(F)F)cc7)cc6C5=O)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,2.44
*c1cc(N2C(=O)c3ccc(Oc4ccc(C(c5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5)(C(F)(F)F)C(F)(F)F)cc4)cc3C2=O)cc(C(F)(F)F)c1,2.55
*c1ccc(Cc2ccc(N3C(=O)CC(C4C=C(C)C5C(=O)N(*)C(=O)C5C4)C3=O)cc2)cc1,2.832
*c1ccc(CCc2ccc(N3C(=O)CC(C4C=C(C)C5C(=O)N(*)C(=O)C5C4)C3=O)cc2)cc1,3.052
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)CC(C5C=C(C)C6C(=O)N(*)C(=O)C6C5)C4=O)cc3)cc2)cc1,2.819
*c1cccc(Oc2cccc(Oc3cccc(N4C(=O)c5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)c3)c2C#N)c1,8.1
*c1cccc(Oc2ccc(C#N)c(Oc3cccc(N4C(=O)c5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)c3)c2)c1,8.8
