SMILES,DC
*CS*,12.781933
*/C=C/*,2.432924
*/C=C/*,2.491955
*c1c(F)c(F)c(*)c(F)c1F,1.905956
*C(F)(F)C(*)(F)Cl,1.836467
*CCC(Cl)C(*)Cl,2.539531
*C(F)(F)C(*)(F)OC(F)C(F)F,2.162313
*/C=C(/*)c1cccc(Cl)c1,2.499953
*/C=C(/*)c1ccc(Cl)cc1,2.690631
*/C(Cl)=C(/*)c1ccccc1,2.165238
*CC(*)Cl,2.736389
*/C=C(/*)c1ccccc1,2.336858
*c1ccc(*)c2nccnc12,2.610707
*OC(*)CCC#N,3.868086
*/C(C#N)=C(/*)c1ccccc1,2.448177
*c1cccc(*)c1,2.668191
*CC(*)(C#N)C(=O)OC,2.519938
*CC(*)n1ccnc1,2.866943
*CC(*)c1ccccn1,2.558107
*C1C(=O)OC(=O)C1*,2.504479
*CC(*)CC,2.124364
*CC(C)S(*)(=O)=O,2.738124
*C1CCC1*,2.106737
*CCC([2H])C(*)([2H])C,2.088312
*c1cc(O)c(O)cc1*,2.82072
*CC(*)CCC,2.056313
*CCC(*)(C)C,2.230535
*CC(*)C(C)=O,3.037263
*CC(*)(CF)C(=O)OC,2.141507
*CC(*)C(C)C,2.000252
*CC(*)C(=O)OC,2.600275
*CC(*)(C)C(=O)OC,2.168216
*CC(*)(C)CC,2.095574
*C1C=CC(*)C1,2.33648
*CC(*)c1ccccc1Cl,2.668682
*CC(*)c1ccc(Cl)c(Cl)c1,2.650638
*C1CCC(*)C1,2.185643
*CC(*)C(=O)O,3.134852
*c1cccc(*)c1N,3.242677
*CC(*)c1cccc(Cl)c1,2.743238
*CC(*)c1ccccc1,2.43639
*CC(*)c1c(F)c(F)c(F)c(F)c1F,2.203047
*CCCN*,3.513828
*CC(*)(C)C(N)=O,2.830639
*CC(*)C1CCC1,2.105074
*CC(*)c1ccccc1F,2.646557
*CC(*)c1cccc(F)c1,2.775882
*CC(*)c1ccc(Cl)c(F)c1,2.558284
*CC(*)O,3.670285
*CCN*,3.442845
*CC(*)c1cc(F)ccc1F,3.404102
*CC1CCC(*)C1,2.260558
*C([2H])([2H])C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],2.460212
*C(F)(F)C(*)(F)c1ccccc1,1.757467
*CC(*)c1ccc(Cl)cc1Cl,3.186192
*CC(*)(C#N)C(=O)OCC,2.318727
*CC(*)C(=O)OCCC#N,3.714911
*CC(*)C=C(C)C,2.1658
*CC(*)c1c([2H])c([2H])c([2H])c([2H])c1[2H],2.4292
*CC(*)c1ccccc1,2.427518
*/C=C(/*)c1ccc(C#C)cc1,2.583263
*/C=C(/*)c1cccc(C#C)c1,2.503748
*CC(*)c1cc(Cl)ccc1Cl,2.100685
*/C=C(/*)c1ccccc1C,2.1955
*C(F)(F)C(F)(F)C1(F)C(*)(F)OC(F)(F)C1(F)F,1.573387
*C1Cc2ccccc2C1*,2.344564
*CC(*)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,2.045339
*C1C2CCC(C2)C1*,2.004105
*C(c1ccccc1)C(*)(C#N)C#N,2.435638
*CCc1ccc(*)c(F)c1,3.93881
*CC(*)CCCC,2.042486
*CC(*)CC(C)C,2.011782
*CC(*)C(C)CC,2.062305
*CC(*)CC(C)C(F)(F)F,2.32177
*/C=C(/*)c1ccc(OC)cc1,2.696245
*CC(*)(C)CCC,1.994893
*CC(*)c1ccc(C#C)cc1,2.537884
*CC(*)c1ccc(C=O)cc1,3.457895
*/C=C(/*)c1ccc(NC=O)cc1,3.06422
*CC(*)c1ccc(Cl)cc1C,2.695645
*CC(=O)C(*)c1ccc(F)cc1,2.98666
*CC(*)c1cc(C)ccc1F,2.604586
*CC(*)C(=O)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.411584
*CC(C)C(*)(C)C,2.214474
*CC(*)Cc1ccccc1,2.404525
*CC(*)c1cccc(C)c1,2.326234
*CC(*)c1ccc(C)cc1,2.351728
*CC(*)c1ccc(Cl)c(C)c1,2.706171
*CC(*)c1ccc(F)cc1C,2.782393
*CC(*)c1ccccc1C,2.327045
*CC(*)C(=O)Oc1ccccc1Cl,2.670764
*CC(*)(C)c1ccccc1,2.263905
*CC(*)OC(=O)c1ccccc1,2.678762
*CCCC(*)(C)C(=O)O,2.559885
*CC(*)c1c(F)c(F)c(C(F)(F)F)c(F)c1F,2.152479
