SMILES,DIF
*CCC(Cl)C(*)Cl,0.0217
*CC(*)C#N,0.00337
*CCS*,0.418
*CCc1ccc(*)s1,0.0603
*c1cccc(*)c1,0.000258
*CC(*)(C)C#N,0.00281
*/C=C/*,0.00145
*Oc1cccc(*)c1,0.0383
*SC(*)(F)F,0.000633
*CCc1ccc(*)o1,0.0106
*/C=C/CC*,0.0122
*/C=C/CC*,0.0718
*CC(*)n1cncn1,0.0451
*/C=C/CCC*,0.015
*CCC(*)=O,0.216
*CC(*)n1ccnc1,0.0667
*CC(*)C(C)=O,0.0581
*CC(*)O[N+](=O)[O-],0.0778
*C*,0.348
*CC(*)CC,0.618
*CC(C)(C)O*,0.173
*CC(*)OCC,0.328
*CC(*)OC,0.0218
*CC(*)C,0.0221
*CO*,0.0488
*CCN*,0.000824
*C(F)(F)C(*)(F)OC(F)C(F)F,0.00899
*CC(*)(C)C,78.9552
*CC(*)O,0.464
*c1ccc(C(Cl)(Cl)C(*)Cl)cc1,0.0396
*/C=C/c1ccc(*)cc1,0.00983
*/C(Cl)=C(/*)c1ccccc1,0.00141
*Sc1c(C)cc(*)cc1C,0.367
*Oc1c(C)cc(*)cc1C,0.0476
*CC(*)C(=O)c1ccc(Br)cc1,20.2314
*C1CCC(*)C1,0.000219
*Nc1ccc(*)cc1C,0.0886
*CC(*)OC(=O)CC,0.043
*c1ccc(C(F)(F)C(*)(F)F)cc1,0.0555
*CC(*)CCC,3.8
*C1Cc2ccccc2C1*,0.283
*/C=C(/*)c1ccccc1C(F)(F)F,3.44
*CC(O*)c1ccccc1,0.00184
*CCC([2H])C(*)([2H])C,0.241
*C(F)(F)C(*)(F)c1ccccc1,1.83
*OC1CCCCC1*,0.0282
*CC(C)(C)CS(*)(=O)=O,0.0122
*CC(*)CCCC,0.314
*CC(*)CC(C)C,0.17
*CC(*)OC(C)C,0.00706
*CC(*)C(C)C,0.806
*CCCC(*)(C)C,0.102
*CC(*)N1CCCC1=O,0.252
*CC(*)OC(=O)c1ccccc1,0.00856
*C1C2CCC(C2)C1*,0.285
*CC/C=C(/*)c1ccccc1,0.0966
*CCCCCC(=O)O*,0.187
*CC(*)n1cc2ccccc2n1,0.0147
*/C(CC)=C(/*)c1ccccc1,0.00697
