SMILES,ETOTAL
*C*,-25433.21686
*CO*,-72648.65031
*CS*,-275334.293
*C(*)C,-50113.89844
*CC(*)Cl,-338557.0195
*C(*)CC,-74796.52912
*CC(*)C,-74796.5323
*SC(*)(F)F,-399935.586
*CC(*)C#N,-108032.6877
*CCS*,-300018.0651
*CC(=O)N*,-131353.7807
*CC(*)O,-97335.01054
*CC(*)C=O,-121261.2824
*/C=C/CC*,-98705.6717
*CCN*,-84863.64228
*CCC(*)=O,-121259.7371
*/C=C/CC*,-98705.6717
*/C=C/CC*,-98705.6717
*CC(*)OC,-122009.2608
*C(F)(F)C(*)(F)Cl,-525456.8796
*C1CCC1*,-98701.99345
*CCCO*,-122018.1545
*CC(*)(C)C#N,-132716.2381
*CC(*)C(C)=O,-145951.0389
*/C=C/CCC*,-123388.3051
*Oc1ccc(*)cc1,-193044.4071
*CC(*)C(=O)O,-168511.1212
*OC(*)CCC#N,-179937.3149
*C(=O)C(*)(C)C,-145943.6455
*CC(*)C1CC1,-123382.7485
*CC(*)(C)C,-99480.5544
*C1C(=O)OC(=O)C1*,-238911.0581
*C1C=CC(*)C1,-122634.2121
*OC(*)C(Cl)(Cl)Cl,-962653.6664
*CC(*)CC,-99478.71569
*CCCN*,-109546.7391
*CCC(Cl)C(*)Cl,-676363.0116
*C1CCC(*)C1,-123404.16
*CC(*)OCC,-146693.9639
*/N=N/c1ccc(*)cc1,-214537.9358
*c1cc(O)c(O)cc1*,-240272.8128
*CC(*)n1cncn1,-201464.8972
*CC(*)O[N+](=O)[O-],-225706.7406
*CC/C=C(/*)C,-123389.6291
*CC(*)C(=O)OC,-193184.6852
*Nc1ccc(*)cc1F,-242873.9395
*CC/C=C(/*)C,-123389.6291
*CC(C)S(*)(=O)=O,-419111.5388
*CC/C=C(/*)C,-123389.6291
*CC(C)(C)O*,-146708.0019
*/C=C(/*)c1ccccc1,-194411.9552
*/C=C/c1cccc(*)c1,-194411.955
*CCCS(*)(=O)=O,-419108.3302
*Cc1ccc(*)cc1,-170501.2233
*/C=C/CCC*,-123388.3051
*CC(*)CCC,-124161.3234
*/C=C/c1ccc(*)cc1,-194411.9549
*CC(*)c1cccs1,-396472.4022
*CCc1ccc(*)o1,-193787.8244
*CC(*)n1ccnc1,-191395.2839
*/C=C(/*)c1ccc(Cl)cc1,-482854.6636
*Oc1cccc(*)c1C#N,-250966.5904
*Nc1ccc(*)c(Cl)c1Cl,-757456.6778
*CC(*)(C#N)C(=O)OC,-251098.7812
*C(F)(F)C(*)(F)OC(F)C(F)F,-520511.7456
*CC(*)(C)C(C)=O,-170633.0814
*CC(*)C(C)C,-124162.1433
*CC(*)(C)C(N)=O,-180719.8177
*/C(Cl)=C(/*)c1ccccc1,-482854.4344
*CCc1ccc(*)s1,-396472.1784
*CC(*)(C)CC,-124162.7563
*c1ccc(*)c2nccnc12,-262419.9822
*/C=C(/*)c1cccc(Cl)c1,-482854.5961
*/C=C/c1ccc(*)c(F)c1,-256713.6084
*CC(*)OC(=O)CC,-217870.2339
*/C=C/c1cc(Cl)c(*)cc1Cl,-771293.0614
*CCCCSS*,-599287.9161
*CCC([2H])C(*)([2H])C,-124161.2017
*CC(*)C(=O)OCC,-217870.4217
*Nc1cc(*)ccc1C,-205257.8915
*Nc1ccc(*)cc1N,-215332.0365
*CC(*)c1ccccn1,-205254.3894
*CC(*)C=C(C)C,-148075.1921
*CC(*)OC(C)C,-171380.3528
*CCCNS(*)(=O)=O,-453861.3057
*CC1CCC(*)C1,-148088.5512
*c1ccc(N(*)C)cc1,-205249.5694
*CC(*)(CF)C(=O)OC,-280166.437
*/C=C/C(C)C(*)C,-148071.2688
*Nc1cc(*)ccc1N,-215332.0373
*/C=C(/*)c1ccc(N)cc1,-229168.5268
*/C(C#N)=C(/*)c1ccccc1,-252333.1397
*CC(*)c1cc(F)ccc1F,-319786.5906
*CC(*)C1CCC1,-148069.8606
*CC(*)c1c([2H])c([2H])c([2H])c([2H])c1[2H],-195184.0596
*CC(*)c1ccccc1,-195184.0616
*CC/C(C)=C(/*)C,-148075.0019
*CC(*)(C)C(=O)OC,-217867.4756
*CC(*)c1ccccc1,-195184.0612
*CC(*)C(=O)N(C)C,-205391.2379
*C([2H])([2H])C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],-195184.0611
*CC(*)(Cl)C(=O)OCC,-506310.4092
*ON(C(F)(F)F)C(F)(F)C(*)(F)F,-592868.3269
*/C=C/C1CCC(*)C1,-171998.0253
*/C=C(/*)c1ccc(C#C)cc1,-242224.1829
*CC(*)c1ccccc1F,-257486.6003
*c1sc(*)c(OC)c1OC,-490899.8189
*/N=N/c1cc(*)ccc1C,-239222.8031
*CC(*)C(=O)C(C)C,-195317.4684
*CC(*)c1ccc(Cl)c(F)c1,-545925.8858
*OC1CCCCC1*,-195318.7539
*C1C2CCC(C2)C1*,-172012.9197
*C(F)(F)C(*)(F)c1ccccc1,-382089.2787
*CC(*)c1c(F)c(F)c(F)c(F)c1F,-506670.3112
*CC(*)c1ccc(O)cc1,-242411.5588
*C1Cc2ccccc2C1*,-219113.2948
*CC(*)c1ccccc1Cl,-483627.4012
*Oc1c(C)cc(*)cc1C,-242415.257
