SMILES,HOMO
*C*,-13.49543158
*CO*,-10.20741828
*CS*,-9.141712493
*C(*)C,-12.04371242
*CC(*)Cl,-10.78918301
*C(*)CC,-11.58218442
*CC(*)C,-11.5813036
*SC(*)(F)F,-10.16937561
*CC(*)C#N,-11.68572147
*CCS*,-9.108392268
*CC(=O)N*,-9.649018376
*CC(*)O,-10.18446762
*CC(*)C=O,-9.803062155
*/C=C/CC*,-9.668976915
*CCN*,-9.139699956
*CCC(*)=O,-9.731577051
*/C=C/CC*,-9.668976848
*/C=C/CC*,-9.668976884
*CC(*)OC,-9.742270964
*C(F)(F)C(*)(F)Cl,-11.73050418
*C1CCC1*,-10.94178472
*CCCO*,-10.16829096
*CC(*)(C)C#N,-11.59002908
*CC(*)C(C)=O,-9.568363053
*/C=C/CCC*,-9.62855568
*Oc1ccc(*)cc1,-8.60099303
*CC(*)C(=O)O,-10.35512216
*OC(*)CCC#N,-10.73340703
*C(=O)C(*)(C)C,-9.641638925
*CC(*)C1CC1,-10.12128123
*CC(*)(C)C,-11.40827464
*C1C(=O)OC(=O)C1*,-10.69573877
*C1C=CC(*)C1,-9.110067343
*OC(*)C(Cl)(Cl)Cl,-11.16777844
*CC(*)CC,-11.4238039
*CCCN*,-9.12685886
*CCC(Cl)C(*)Cl,-10.76291627
*C1CCC(*)C1,-11.14344303
*CC(*)OCC,-9.665996173
*/N=N/c1ccc(*)cc1,-9.222906611
*c1cc(O)c(O)cc1*,-8.254738207
*CC(*)n1cncn1,-9.853216097
*CC(*)O[N+](=O)[O-],-11.4555943
*CC/C=C(/*)C,-9.193199417
*CC(*)C(=O)OC,-10.34352934
*Nc1ccc(*)cc1F,-7.901628596
*CC/C=C(/*)C,-9.193199137
*CC(C)S(*)(=O)=O,-10.82558411
*CC/C=C(/*)C,-9.193199607
*CC(C)(C)O*,-10.10965892
*/C=C(/*)c1ccccc1,-8.627029053
*/C=C/c1cccc(*)c1,-8.62695114
*CCCS(*)(=O)=O,-10.92276633
*Cc1ccc(*)cc1,-9.033577085
*/C=C/CCC*,-9.628556004
*CC(*)CCC,-11.13624534
*/C=C/c1ccc(*)cc1,-8.627051462
*CC(*)c1cccs1,-8.705575981
*CCc1ccc(*)o1,-8.494378339
*CC(*)n1ccnc1,-8.702960659
*/C=C(/*)c1ccc(Cl)cc1,-8.697383771
*Oc1cccc(*)c1C#N,-9.247810195
*Nc1ccc(*)c(Cl)c1Cl,-8.267537503
*CC(*)(C#N)C(=O)OC,-10.93473255
*C(F)(F)C(*)(F)OC(F)C(F)F,-12.23168759
*CC(*)(C)C(C)=O,-9.381467525
*CC(*)C(C)C,-11.16521759
*CC(*)(C)C(N)=O,-9.468975528
*/C(Cl)=C(/*)c1ccccc1,-8.670890271
*CCc1ccc(*)s1,-8.684773646
*CC(*)(C)CC,-11.1757471
*c1ccc(*)c2nccnc12,-9.227660847
*/C=C(/*)c1cccc(Cl)c1,-8.897817798
*/C=C/c1ccc(*)c(F)c1,-8.846753315
*CC(*)OC(=O)CC,-10.26702105
*/C=C/c1cc(Cl)c(*)cc1Cl,-9.055539557
*CCCCSS*,-9.196543803
*CCC([2H])C(*)([2H])C,-11.19376853
*CC(*)C(=O)OCC,-10.29262266
*Nc1cc(*)ccc1C,-7.64048642
*Nc1ccc(*)cc1N,-7.643307887
*CC(*)c1ccccn1,-9.413790403
*CC(*)C=C(C)C,-8.887920348
*CC(*)OC(C)C,-9.649314725
*CCCNS(*)(=O)=O,-10.56288199
*CC1CCC(*)C1,-11.06308141
*c1ccc(N(*)C)cc1,-7.56141917
*CC(*)(CF)C(=O)OC,-10.55422359
*/C=C/C(C)C(*)C,-9.635000307
