SMILES,LUMO
*C*,3.283230419
*CO*,2.892761456
*CS*,2.251849009
*C(*)C,3.133237592
*CC(*)Cl,2.609634288
*C(*)CC,3.04487708
*CC(*)C,3.045287391
*SC(*)(F)F,1.763333354
*CC(*)C#N,2.34760559
*CCS*,2.29098198
*CC(=O)N*,2.557840618
*CC(*)O,2.833725528
*CC(*)C=O,1.923826145
*/C=C/CC*,2.639836427
*CCN*,2.960070403
*CCC(*)=O,1.734911362
*/C=C/CC*,2.639836258
*/C=C/CC*,2.639836392
*CC(*)OC,3.080954173
*C(F)(F)C(*)(F)Cl,2.263203127
*C1CCC1*,3.034380025
*CCCO*,2.788758143
*CC(*)(C)C#N,2.354066394
*CC(*)C(C)=O,2.066540709
*/C=C/CCC*,2.839196743
*Oc1ccc(*)cc1,1.903171287
*CC(*)C(=O)O,2.42147821
*OC(*)CCC#N,2.334971091
*C(=O)C(*)(C)C,1.774774946
*CC(*)C1CC1,3.054108002
*CC(*)(C)C,2.913126938
*C1C(=O)OC(=O)C1*,1.598227781
*C1C=CC(*)C1,2.962950194
*OC(*)C(Cl)(Cl)Cl,1.107413305
*CC(*)CC,2.99560333
*CCCN*,2.854469593
*CCC(Cl)C(*)Cl,2.28081461
*C1CCC(*)C1,2.840363871
*CC(*)OCC,3.053363069
*/N=N/c1ccc(*)cc1,0.318759943
*c1cc(O)c(O)cc1*,2.093583428
*CC(*)n1cncn1,2.392690832
*CC(*)O[N+](=O)[O-],0.907236818
*CC/C=C(/*)C,2.778300093
*CC(*)C(=O)OC,2.811663265
*Nc1ccc(*)cc1F,2.114043398
*CC/C=C(/*)C,2.778299976
*CC(C)S(*)(=O)=O,2.287007891
*CC/C=C(/*)C,2.778300625
*CC(C)(C)O*,2.596733822
*/C=C(/*)c1ccccc1,1.040075901
*/C=C/c1cccc(*)c1,1.040246855
*CCCS(*)(=O)=O,2.232842923
*Cc1ccc(*)cc1,1.969827572
*/C=C/CCC*,2.839196618
*CC(*)CCC,3.041731174
*/C=C/c1ccc(*)cc1,1.039985659
*CC(*)c1cccs1,1.822430782
*CCc1ccc(*)o1,2.594416392
*CC(*)n1ccnc1,2.556550953
*/C=C(/*)c1ccc(Cl)cc1,0.735426573
*Oc1cccc(*)c1C#N,0.531782634
*Nc1ccc(*)c(Cl)c1Cl,1.517198881
*CC(*)(C#N)C(=O)OC,1.950255951
*C(F)(F)C(*)(F)OC(F)C(F)F,2.540720687
*CC(*)(C)C(C)=O,2.069015644
*CC(*)C(C)C,2.851295875
*CC(*)(C)C(N)=O,2.444770682
*/C(Cl)=C(/*)c1ccccc1,0.714342504
*CCc1ccc(*)s1,1.848615586
*CC(*)(C)CC,2.966059688
*c1ccc(*)c2nccnc12,0.014943487
*/C=C(/*)c1cccc(Cl)c1,0.710549507
*/C=C/c1ccc(*)c(F)c1,0.771056147
*CC(*)OC(=O)CC,2.841288116
*/C=C/c1cc(Cl)c(*)cc1Cl,0.471396834
*CCCCSS*,1.135676586
*CCC([2H])C(*)([2H])C,2.899143576
*CC(*)C(=O)OCC,2.718142019
*Nc1cc(*)ccc1C,2.319203845
*Nc1ccc(*)cc1N,2.362249029
*CC(*)c1ccccn1,1.433930872
*CC(*)C=C(C)C,2.744289857
*CC(*)OC(C)C,2.998495084
*CCCNS(*)(=O)=O,2.615908823
*CC1CCC(*)C1,2.862240087
