SMILES,MU
*C*,0.003467741
*CO*,1.719948468
*CS*,1.694632716
*C(*)C,0.006255376
*CC(*)Cl,2.286546779
*C(*)CC,0.072295324
*CC(*)C,0.087084053
*SC(*)(F)F,2.26237672
*CC(*)C#N,3.942243482
*CCS*,1.793454715
*CC(=O)N*,3.799805656
*CC(*)O,1.669201615
*CC(*)C=O,2.565795957
*/C=C/CC*,0.337881325
*CCN*,1.317898089
*CCC(*)=O,2.751005296
*/C=C/CC*,0.337881319
*/C=C/CC*,0.337881317
*CC(*)OC,1.220578232
*C(F)(F)C(*)(F)Cl,0.127238623
*C1CCC1*,0.01060981
*CCCO*,1.64180632
*CC(*)(C)C#N,3.962053221
*CC(*)C(C)=O,2.733987705
*/C=C/CCC*,0.36968732
*Oc1ccc(*)cc1,1.347546387
*CC(*)C(=O)O,1.682179009
*OC(*)CCC#N,5.375130529
*C(=O)C(*)(C)C,2.759957589
*CC(*)C1CC1,0.20755811
*CC(*)(C)C,0.132210095
*C1C(=O)OC(=O)C1*,4.487349712
*C1C=CC(*)C1,0.172861158
*OC(*)C(Cl)(Cl)Cl,1.496574674
*CC(*)CC,0.09113074
*CCCN*,1.323589142
*CCC(Cl)C(*)Cl,3.038636312
*C1CCC(*)C1,0.022571943
*CC(*)OCC,1.224368518
*/N=N/c1ccc(*)cc1,0.667082
*c1cc(O)c(O)cc1*,2.481797285
*CC(*)n1cncn1,3.356762269
*CC(*)O[N+](=O)[O-],3.500745111
*CC/C=C(/*)C,0.241183398
*CC(*)C(=O)OC,1.647053712
*Nc1ccc(*)cc1F,1.693734162
*CC/C=C(/*)C,0.241183502
*CC(C)S(*)(=O)=O,4.787093172
*CC/C=C(/*)C,0.241183572
*CC(C)(C)O*,1.51769881
*/C=C(/*)c1ccccc1,0.153070561
*/C=C/c1cccc(*)c1,0.151530335
*CCCS(*)(=O)=O,4.850799069
*Cc1ccc(*)cc1,0.345728637
*/C=C/CCC*,0.369687262
*CC(*)CCC,0.048652797
*/C=C/c1ccc(*)cc1,0.151142332
*CC(*)c1cccs1,0.668079959
*CCc1ccc(*)o1,0.514635907
*CC(*)n1ccnc1,4.18309136
*/C=C(/*)c1ccc(Cl)cc1,1.880712304
*Oc1cccc(*)c1C#N,3.302517752
*Nc1ccc(*)c(Cl)c1Cl,3.608620932
*CC(*)(C#N)C(=O)OC,5.335814813
*C(F)(F)C(*)(F)OC(F)C(F)F,2.030575487
*CC(*)(C)C(C)=O,2.838122102
*CC(*)C(C)C,0.135509924
*CC(*)(C)C(N)=O,3.661913734
*/C(Cl)=C(/*)c1ccccc1,2.063564559
*CCc1ccc(*)s1,0.752504896
*CC(*)(C)CC,0.096000995
*c1ccc(*)c2nccnc12,0.34846911
*/C=C(/*)c1cccc(Cl)c1,1.967680301
*/C=C/c1ccc(*)c(F)c1,1.519008824
*CC(*)OC(=O)CC,1.782325224
*/C=C/c1cc(Cl)c(*)cc1Cl,0.401490302
*CCCCSS*,2.273906391
*CCC([2H])C(*)([2H])C,0.06482551
*CC(*)C(=O)OCC,1.590151773
*Nc1cc(*)ccc1C,1.930252297
*Nc1ccc(*)cc1N,1.12765552
*CC(*)c1ccccn1,1.805794833
*CC(*)C=C(C)C,0.271298064
*CC(*)OC(C)C,1.18554668
*CCCNS(*)(=O)=O,3.779733287
*CC1CCC(*)C1,0.07916743
*c1ccc(N(*)C)cc1,1.977796984
*CC(*)(CF)C(=O)OC,2.411453704
*/C=C/C(C)C(*)C,0.325283385
*Nc1cc(*)ccc1N,1.128451246
*/C=C(/*)c1ccc(N)cc1,2.521207168
*/C(C#N)=C(/*)c1ccccc1,5.117374491
*CC(*)c1cc(F)ccc1F,0.69482239
*CC(*)C1CCC1,0.067404974
*CC(*)c1c([2H])c([2H])c([2H])c([2H])c1[2H],0.301937785
*CC(*)c1ccccc1,0.311028042
*CC/C(C)=C(/*)C,0.189239145
*CC(*)(C)C(=O)OC,1.805561752
*CC(*)c1ccccc1,0.311113668
*CC(*)C(=O)N(C)C,3.607804325
*C([2H])([2H])C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],0.309111531
*CC(*)(Cl)C(=O)OCC,2.19829991
*ON(C(F)(F)F)C(F)(F)C(*)(F)F,2.521709114
*/C=C/C1CCC(*)C1,0.37825048
*/C=C(/*)c1ccc(C#C)cc1,0.675025754
*CC(*)c1ccccc1F,1.222530874
*c1sc(*)c(OC)c1OC,0.16102515
*/N=N/c1cc(*)ccc1C,0.616164768
*CC(*)C(=O)C(C)C,2.58453825
*CC(*)c1ccc(Cl)c(F)c1,3.191672248
*OC1CCCCC1*,1.579058944
*C1C2CCC(C2)C1*,0.094831123
*C(F)(F)C(*)(F)c1ccccc1,1.326385417
*CC(*)c1c(F)c(F)c(F)c(F)c1F,2.120016104
*CC(*)c1ccc(O)cc1,1.364116661
*C1Cc2ccccc2C1*,0.568294594
*CC(*)c1ccccc1Cl,1.697210112
*Oc1c(C)cc(*)cc1C,1.479176658
*CC(*)CCCC,0.01637689
*CC(*)c1ccc(Cl)cc1Cl,2.209905535
*CCc1ccc(*)c(F)c1,1.75325613
*c1ccc(C(F)(F)C(*)(F)F)cc1,1.109973977
*CC(*)c1cccc(F)c1,1.761497506
*CC(*)c1cccc(Cl)c1,2.203240599
*CC(*)(C#N)C(=O)OCC,3.471651495
*CCc1ccc(*)c(Cl)c1Cl,2.92376691
*CC(*)N1CCCC1=O,3.749486795
*CC(O*)c1ccccc1,1.71835397
*Sc1c(C)cc(*)cc1C,1.051463966
*CCC(C)C(*)C,0.080781848
*Oc1cc(C)c(*)cc1C,1.393858443
*c1ccc(*)c(OC)c1N,1.477396079
*/C(F)=C(\F)C(F)(C(*)(F)F)C(F)(F)F,2.701111897
*CC(*)CC(C)C,0.150701532
*CC(*)C(C)(C)C,0.061748759
*Nc1ccc(*)cc1C,1.621846861
*/C=C(/*)c1ccccc1C,0.221386875
*CC(*)(C)CCC,0.091221404
*CC(*)C(C)CC,0.059025565
*CCCC(*)(C)C,0.168730782
*c1c2ccccc2c(*)n1C,3.177005473
*c1ccc2c(*)c(C)[nH]c2c1,2.557643599
*CC(C)C(*)(C)C,0.104185248
*CCc1c(Cl)c(Cl)c(*)c(Cl)c1Cl,0.941757879
*/C=C(/*)c1cccc(C#C)c1,0.684758072
*CCN(*)C(=O)CSC,3.4781875
*CC(*)c1cc(Cl)ccc1Cl,0.66852805
*CCc1cc(Cl)c(*)cc1Cl,0.663903014
*c1ccc(C(Cl)(Cl)C(*)Cl)cc1,2.079526293
*C(=O)N(*)c1cccc(C)c1,3.022777515
*CC(*)C(=O)OCCC#N,4.716092018
*C(=O)N(*)Cc1ccccc1,3.528867363
*CC(*)c1ccc(C#C)cc1,1.154506895
*/C=C(/*)c1ccccc1C(F)(F)F,2.617922247
*CC(*)CC(C)C(F)(F)F,2.465608423
*c1ccc(N(*)CC)cc1,2.062426405
*CC(*)(C)C(=O)OCC,1.672058147
*CC(*)(C)C(=O)OCCF,1.73015715
*CC(C)(C)CS(*)(=O)=O,4.779494976
*CCCCCC(=O)O*,1.329630101
*CC(*)Cc1ccccc1,0.31891682
*CC(*)(Cl)C(=O)OCCC,2.28194057
*CCN(*)C(=O)c1ccsc1,3.634381168
*CC(*)C1CCCC1,0.120426227
*CC1(*)CCCCC1,0.09477272
*/C=C/CCCCC*,0.339575062
*/C=C(/*)c1ccc(OC)cc1,1.461870245
*CCCC(*)(C)C(=O)O,1.668572723
*CC(*)c1ccc(Cl)c(Cl)c1,3.311680243
*CC(*)c1ccc(C=O)cc1,3.580715836
*CC(*)(Cl)C(=O)OC(C)C,2.198148295
*C(c1ccccc1)C(*)(C#N)C#N,4.583060871
*CC(*)(C)c1ccccc1,0.277471058
*CCC1CCCC1*,0.03870858
*CC/C=C(/*)CCC,0.191473713
*CC/C=C(/*)C(C)C,0.126686544
*CC(*)(CF)C(=O)OCC,1.830905685
*CC(*)(C)C(=O)OCCCl,1.898839645
*CC(*)c1ccccc1C,0.539298264
*/C=C(/*)c1ccc(NC=O)cc1,3.315688935
*/C=C/c1ccc(*)c(OC)c1,1.251482479
*CC(*)c1ccc(C)cc1,0.066846696
*Cc1cc(C)c(*)cc1C,0.371162327
*/C=C/C(C*)CCC,0.205161752
*CC(*)c1ccc(Cl)cc1C,2.615819022
*CCC1CCC(*)C1,0.052295347
*CC(*)C(=O)NC(C)C,3.434306837
*C(=O)N(*)c1ccc(OC)cc1,2.307714111
*CC(*)c1ccc(F)cc1C,2.083549956
*CC(*)c1cc(C)ccc1F,1.593039729
*CC(*)c1ccc(Cl)c(C)c1,2.092987667
*CC(*)OC(=O)c1ccccc1,1.7449558
*/C=C/c1ccc(-c2ccc(*)s2)s1,0.050169926
*CC(*)n1cc2ccccc2n1,2.758050679
*CC(*)S(=O)c1ccc(F)cc1,3.463502804
*CC(=O)C(*)c1ccc(F)cc1,2.473930526
*CC(*)C1CC=CCC1,0.25352415
*CC(*)(C)c1ccc(F)cc1,1.874362811
*CC(*)c1cccc(C)c1,0.313881669
*Cc1ccc(C(=O)N*)cc1,3.7101362
*Nc1cc(*)ccc1CC,1.534481902
*CCCCCC(=O)N*,3.494475619
*CC(*)C(=O)OCCSC,2.143873251
*CC(*)S(=O)c1ccc(Cl)cc1,3.397415247
*CC(*)CCCCC,0.05920802
*CC(*)C(=O)c1ccccc1O,3.216143827
*CCc1ccc(C(=O)O*)cc1,2.248998038
*Nc1cc(C)c(*)cc1OC,1.24974852
*CC(*)C(=O)Oc1ccccc1Cl,1.86141963
*CC(*)(C)C(=O)OCCC#N,3.244295405
