SMILES,PE
*CS*,113.173638
*/C=C/*,21.541565
*/C=C/*,22.064242
*c1c(F)c(F)c(*)c(F)c1F,16.875695
*C(F)(F)C(*)(F)Cl,16.260427
*CCC(Cl)C(*)Cl,22.485484
*C(F)(F)C(*)(F)OC(F)C(F)F,19.145529
*/C=C(/*)c1cccc(Cl)c1,22.135054
*/C=C(/*)c1ccc(Cl)cc1,23.823355
*/C(Cl)=C(/*)c1ccccc1,19.171428
*CC(*)Cl,24.228501
*/C=C(/*)c1ccccc1,20.69098
*c1ccc(*)c2nccnc12,23.115693
*OC(*)CCC#N,34.248763
*/C(C#N)=C(/*)c1ccccc1,21.676621
*c1cccc(*)c1,23.624664
*CC(*)(C#N)C(=O)OC,22.312004
*CC(*)n1ccnc1,25.384452
*CC(*)c1ccccn1,22.649957
*C1C(=O)OC(=O)C1*,22.175127
*CC(*)CC,18.809521
*CC(C)S(*)(=O)=O,24.243867
*C1CCC1*,18.653444
*CCC([2H])C(*)([2H])C,18.490306
*c1cc(O)c(O)cc1*,24.975187
*CC(*)CCC,18.206978
*CCC(*)(C)C,19.749579
*CC(*)C(C)=O,26.892497
*CC(*)(CF)C(=O)OC,18.961307
*CC(*)C(C)C,17.710604
*CC(*)C(=O)OC,23.023319
*CC(*)(C)C(=O)OC,19.197788
*CC(*)(C)CC,18.554606
*C1C=CC(*)C1,20.687634
*CC(*)c1ccccc1Cl,23.629009
*CC(*)c1ccc(Cl)c(Cl)c1,23.469244
*C1CCC(*)C1,19.35209
*CC(*)C(=O)O,27.756572
*c1cccc(*)c1N,28.711268
*CC(*)c1cccc(Cl)c1,24.289141
*CC(*)c1ccccc1,21.572259
*CC(*)c1c(F)c(F)c(F)c(F)c1F,19.506191
*CCCN*,31.112089
*CC(*)(C)C(N)=O,25.063013
*CC(*)C1CCC1,18.638717
*CC(*)c1ccccc1F,23.433111
*CC(*)c1cccc(F)c1,24.578181
*CC(*)c1ccc(Cl)c(F)c1,22.651529
*CC(*)O,32.497393
*CCN*,30.483594
*CC(*)c1cc(F)ccc1F,30.14056
*CC1CCC(*)C1,20.015402
*C([2H])([2H])C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],21.783176
*C(F)(F)C(*)(F)c1ccccc1,15.56094
*CC(*)c1ccc(Cl)cc1Cl,28.21114
*CC(*)(C#N)C(=O)OCC,20.530447
