SMILES,PHE
*=CC1CCC(C1)C=*,23
*C(=C(*)C1=CC2=C(C=C1)C1=C(C2)C=CC=C1)C1=CC=CC=C1,1600
*C(=C(*)C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2)C1=CC=CC=C1,1150
*C(=C(*)C1=CC=C(C=C1)C1=CC=CC=C1)C1=CC=CC=C1,200
*C(=C(*)C1=CC=C(C=C1)[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1,33
*C(=C(*)C1=CC=C2C3=C(C=CC=C3)C3(CC3)C2=C1)C1=CC=CC=C1,600
*C(=C(*)C1=CC=C2CCCC2=C1)C1=CC=CC=C1,200
*C(=C(*)C1=CC=CC=C1)C1=CC=CC=C1,3400
*C(=O)N1C(*)=NC2=C1C=C1N3C(=NC1=C2)C1=CC=C(*)C2=C1C(=CC=C2*)C3=O,0.54
*C1=CC2C(C=C1)C(=O)N(C2=O)C1=CC=C(OC2=CC=C(C=C2)N2C(=O)C3=CC=C(*)C=C3C2=O)C=C1,23.6
*C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(OC3=CC=C(C=C3)S(*)(=O)=O)C=C2)C=C1,8.85
*C1=NC2=C(N1)C=CC(=C2)C1=CC2=C(NC(=N2)C2=CC=CC(*)=C2)C=C1,1.05
*C1=NN=C(N1C1=CC=CC=C1)C1=CC=CC(=C1)C1=NN=C(N1C1=CC=CC=C1)C1=CC=C(*)C=C1,14
*CC(*)C#N,0.53
*CC(*)C1=CC=CC=C1,22.4
*CC(*)C1=CC=NC=C1,12.36
*CC(*)OC(=C)C1CCCCC1,15.8
*CC(*)OC(=O)C1=CC=CC=C1,10.7
*CC*,3.15
*CC1=CC=C(C*)C=C1,2.5
*CC1CC(*)OCO1,1.6
*CCCC*,15.8
*CCCC=C*,240
*CCCCO*,31.5
*CCO*,5.85
*CCOC(=O)C1=CC2=CC=C(C=C2C=C1)C(=O)O*,1.3275
*CCOC(=O)C1=CC=C(C=C1)C(=O)O*,3.155
*CN1CN(*)CC2=CC3=C(C=C12)C1C2=CC=CC=C2C3C2=C1C=C(*)C(*)=C2,2042.5
*CN1CN(*)CC2=CC3=CC4C5CC(C4C=C3C=C12)C1=CC2=C(C=C51)C=C1N(C*)CN(*)CC1=C2,724
*C\C=C/C*,42.9
*N1C(=O)C2=C(C=C(C=C2)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C1=O,7.03
*N1C(=O)C2=C(C=C(C=C2)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C(CC3=CC=C(*)C=C3)C=C2)C1=O,4.55
