SMILES,POISSON
CC1(C)CC(CC(C)(C*)C1)N1C(=O)C2=CC=C(C=C2C1=O)C1=CC2=C(C=C1)C(=O)N(*)C2=O,0.305
*N1C(=O)C2=C(C=C(C=C2)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=C3C=CC=C(*)C3=CC=C2)C1=O,0.301
*N1C(=O)C2=C(C=C(C=C2)C(=O)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C3OCCOCCOC4=C(OCCOCCOC3=C2)C=CC(*)=C4)C1=O,0.325
FC(F)(F)C(C1=CC2=C(OC(=N2)C2=CC=C(OC3=C4C5C6=C(C=CC=C6)C(C6=C5C=CC=C6)C4=C(OC4=CC=C(*)C=C4)C=C3)C=C2)C=C1)(C1=CC=C2OC(*)=NC2=C1)C(F)(F)F,0.33
CC1(C)CC(C)(C2=CC(=CC=C12)N1C(=O)C2=CC=C(C=C2C1=O)C(=O)C1=CC2=C(C=C1)C(=O)N(*)C2=O)C1=CC=C(*)C=C1,0.276
*C*,0.376
*CC(*)C,0.323
*CC(*)CC,0.329
*CC(*)CCC,0.334
*CC(*)C(C)C,0.332
*CC(*)CCCC,0.301
*CC(*)CC(C)C,0.307
*CC(*)CCCCC,0.309
*CC(*)CCC(C)C,0.307
*CC(*)CCC(C)CC,0.295
*CC(*)CCCCCCC,0.332
*CC(*)CCCCCCCC,0.344
*CC(*)(C)C,0.181
*CC(*)(C)CC,0.239
*CCC(*)(C)C,0.339
*CCCC(*)(C)C,0.31
*CCCC(*)(C)CC,0.337
*CCCCCCCC(*)C,0.378
*CC(*)C1CC1,0.321
*CC(*)CC1CCCCC1,0.297
*CC1CCC(*)C1,0.338
*CC(*)CCCCCCCCCC,0.357
*CC(*)CCCCCCCCCCCC,0.343
*CC(*)CCCCCCCCCCCCCCCC,0.366
*CC(*)C(C)CC,0.325
*CC(*)CC(C)CC,0.293
*CC(*)CC(C)(C)C,0.201
*/C=C/CCC*,0.353
*/C=C/CC*,0.355
*/C=C/CC*,0.332
*/C=C/CCCCCCCC*,0.369
*CC(*)CCCCCCCCCCCCCCCCCCCC,0.371
*/C=C/CCCCCCCCCC*,0.401
*CC(*)CCCCCCCCCCCCCC,0.335
*/C=C/CCCCCC*,0.377
*CC(*)CCCCCCCCCCCCC,0.353
*CC(*)CCCCCCCCCCC,0.352
*CC(*)CCCCCCCCC,0.35
*CC(*)C1CC=CCC1,0.133
*C1CCC1*,0.276
*/C=C/*,0.328
*/C=C/CCCCC*,0.391
*/C=C/C(C*)C(C)CC,0.328
*/C=C/CCCCCCCCCC*,0.391
*/C=C/*,0.365
*CC1(*)CCCCC1,0.303
*CC/C=C(/*)C(C)(C)C,0.252
*CC(*)c1ccccc1,0.21
*CC(*)c1ccccc1C,0.263
*CC(*)c1ccccc1CC,0.232
*CC(*)c1ccccc1COC,0.29
*CC(*)c1ccccc1COCC,0.303
*CC(*)c1ccccc1COCCC,0.31
*CC(*)c1ccccc1COC(C)C,0.282
*CC(*)c1ccccc1COCCCC,0.31
*CC(*)c1ccccc1COCCCCC,0.289
*CC(*)c1ccccc1COCCC(C)C,0.325
*CC(*)c1ccccc1COCc1ccccc1,0.288
*CC(*)c1ccccc1COCCc1ccccc1,0.294
*CC(*)c1ccccc1C(=O)NC,0.311
*CC(*)c1ccccc1C(=O)N(C)C,0.282
*CC(*)c1ccccc1C(=O)Nc1ccccc1,0.323
*CC(*)c1ccccc1C(=O)O,0.295
*CC(*)c1ccccc1C(=O)OC,0.321
*CC(*)c1ccccc1C(=O)OCC,0.333
*CC(*)c1ccccc1C(=O)OCCC,0.311
*CC(*)c1ccccc1C(=O)OC(C)C,0.281
