SMILES,RI
*CS*,1.673365
*/C=C/*,1.526843
*/C=C/*,1.545695
*c1c(F)c(F)c(*)c(F)c1F,1.361498
*C(F)(F)C(*)(F)Cl,1.34488
*CCC(Cl)C(*)Cl,1.470412
*C(F)(F)C(*)(F)OC(F)C(F)F,1.284017
*/C=C(/*)c1cccc(Cl)c1,1.503121
*/C=C(/*)c1ccc(Cl)cc1,1.57362
*/C(Cl)=C(/*)c1ccccc1,1.456988
*CC(*)Cl,1.495569
*/C=C(/*)c1ccccc1,1.509976
*c1ccc(*)c2nccnc12,1.588372
*OC(*)CCC#N,1.465757
*/C(C#N)=C(/*)c1ccccc1,1.50513
*c1cccc(*)c1,1.621873
*CC(*)(C#N)C(=O)OC,1.418801
*CC(*)n1ccnc1,1.507239
*CC(*)c1ccccn1,1.529319
*C1C(=O)OC(=O)C1*,1.479382
*CC(*)CC,1.445699
*CC(C)S(*)(=O)=O,1.484179
*C1CCC1*,1.445986
*CCC([2H])C(*)([2H])C,1.43035
*c1cc(O)c(O)cc1*,1.468214
*CC(*)CCC,1.421135
*CCC(*)(C)C,1.429972
*CC(*)C(C)=O,1.463365
*CC(*)(CF)C(=O)OC,1.364553
*CC(*)C(C)C,1.40139
*CC(*)C(=O)OC,1.433165
*CC(*)(C)C(=O)OC,1.390406
*CC(*)(C)CC,1.436916
*C1C=CC(*)C1,1.513948
*CC(*)c1ccccc1Cl,1.554283
*CC(*)c1ccc(Cl)c(Cl)c1,1.539979
*C1CCC(*)C1,1.470938
*CC(*)C(=O)O,1.496446
*c1cccc(*)c1N,1.607516
*CC(*)c1cccc(Cl)c1,1.546764
*CC(*)c1ccccc1,1.546662
*CC(*)c1c(F)c(F)c(F)c(F)c1F,1.432702
*CCCN*,1.513257
*CC(*)(C)C(N)=O,1.504087
*CC(*)C1CCC1,1.443017
*CC(*)c1ccccc1F,1.504667
*CC(*)c1cccc(F)c1,1.505784
*CC(*)c1ccc(Cl)c(F)c1,1.520726
*CC(*)O,1.476522
*CCN*,1.551599
*CC(*)c1cc(F)ccc1F,1.496159
*CC1CCC(*)C1,1.488065
*C([2H])([2H])C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],1.553991
*C(F)(F)C(*)(F)c1ccccc1,1.283959
*CC(*)c1ccc(Cl)cc1Cl,1.543026
*CC(*)(C#N)C(=O)OCC,1.394802
*CC(*)C(=O)OCCC#N,1.445411
*CC(*)C=C(C)C,1.4577
*CC(*)c1c([2H])c([2H])c([2H])c([2H])c1[2H],1.544425
*CC(*)c1ccccc1,1.544343
*/C=C(/*)c1ccc(C#C)cc1,1.591379
*/C=C(/*)c1cccc(C#C)c1,1.562912
*CC(*)c1cc(Cl)ccc1Cl,1.318155
*/C=C(/*)c1ccccc1C,1.465946
*C(F)(F)C(F)(F)C1(F)C(*)(F)OC(F)(F)C1(F)F,1.242143
*C1Cc2ccccc2C1*,1.520099
*CC(*)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,1.311191
*C1C2CCC(C2)C1*,1.411346
*C(c1ccccc1)C(*)(C#N)C#N,1.445633
*CCc1ccc(*)c(F)c1,1.568199
*CC(*)CCCC,1.418579
*CC(*)CC(C)C,1.407541
*CC(*)C(C)CC,1.418416
*CC(*)CC(C)C(F)(F)F,1.355044
*/C=C(/*)c1ccc(OC)cc1,1.52976
*CC(*)(C)CCC,1.404199
*CC(*)c1ccc(C#C)cc1,1.574452
*CC(*)c1ccc(C=O)cc1,1.557917
*/C=C(/*)c1ccc(NC=O)cc1,1.586398
*CC(*)c1ccc(Cl)cc1C,1.564296
*CC(=O)C(*)c1ccc(F)cc1,1.520037
*CC(*)c1cc(C)ccc1F,1.505375
*CC(*)C(=O)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1.525155
*CC(C)C(*)(C)C,1.415805
*CC(*)Cc1ccccc1,1.535412
*CC(*)c1cccc(C)c1,1.511332
*CC(*)c1ccc(C)cc1,1.519228
*CC(*)c1ccc(Cl)c(C)c1,1.526484
*CC(*)c1ccc(F)cc1C,1.500209
*CC(*)c1ccccc1C,1.513231
*CC(*)C(=O)Oc1ccccc1Cl,1.523708
*CC(*)(C)c1ccccc1,1.49307
*CC(*)OC(=O)c1ccccc1,1.544036
*CCCC(*)(C)C(=O)O,1.429637
*CC(*)c1c(F)c(F)c(C(F)(F)F)c(F)c1F,1.392966
*CC(*)C1CCCC1,1.441597
*CC(*)C(=O)Oc1ccccc1,1.535444
*CC(*)C(=O)c1ccccc1O,1.541684
*CC1(*)CCCCC1,1.419401
*CC(c1ccccc1)S(*)(=O)=O,1.518128
*CC(*)(C)C(=O)OCCC#N,1.437359
*CC(*)C(=O)NC(C)C,1.428682
*CC(*)c1ccccc1OC,1.52294
*CC(*)OC(=O)c1ccc(C#N)cc1,1.551576
*CC(*)C(=O)OCCSCC#N,1.498222
*CC(*)(C)c1ccc(F)cc1,1.460219
*CC(*)C(=O)Oc1ccc(C#N)cc1,1.554579
*CCC1CCC(*)C1,1.464038
*CC(*)C1CC=CCC1,1.459469
*C1C(=O)N(c2ccccc2)C(=O)C1*,1.537345
*CC(*)(C)C(=O)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1.50365
*CC(*)(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)Cl,1.301336
*CC(*)(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,1.277282
*CC(*)c1ccc(CC)cc1,1.51175
*CC(*)(C)C(=O)OC(C(F)(F)F)C(F)(F)F,1.31888
*CC(*)c1cccc2ccccc12,1.598031
*CC(*)c1cc(C)cc(C)c1,1.505601
*CC(*)CCc1ccccc1,1.54464
*CC(*)(Cl)C(=O)OCCCC,1.430533
*CC(*)c1ccc(C)cc1C,1.507254
*CC(*)c1cc(C)ccc1C,1.495553
*CC(*)(C)C(=O)OC(C)C(F)(F)F,1.335172
*CC(*)(C)C(=O)Oc1ccccc1,1.496481
*CC(*)c1cccc(CC)c1,1.501558
*CC(*)CCCCC,1.43211
*CC(*)c1ccc(C)c(C)c1,1.503171
*CC(*)c1ccccc1CC,1.489027
*CC(*)C(C)c1ccccc1,1.493396
*CC(*)C1CCCCC1,1.404348
*CC(*)CC1CCCC1,1.435729
*CC(*)c1ccc(C(=O)OC)cc1,1.509805
*CC(*)c1ccc(S(=O)(=O)O)cc1,1.564094
*CC(*)CCC(C)C,1.423667
*CC(*)CC(C)CC,1.417386
*CCCCCCS(*)(=O)=O,1.515334
*CC(*)(Cl)C(=O)OC(C)CC,1.404514
*CC(*)C(CC)CC,1.401545
*CC(*)c1ccc(OC(C)=O)cc1,1.524905
*CC(*)CNc1ccc([N+](=O)[O-])cn1,1.604077
*CC(*)C(=O)Oc1cccc(C)c1,1.507168
*CC(*)(C)c1ccc(C)cc1,1.467174
*CC(*)CC(C)(C)C,1.407737
*CC1(*)CCC(C)CC1,1.401206
*CC(*)(CC(=O)OC)C(=O)OC,1.390959
