SMILES,SHEAR
CC1(C)CC(CC(C)(C*)C1)N1C(=O)C2=CC=C(C=C2C1=O)C1=CC2=C(C=C1)C(=O)N(*)C2=O,2.061
*N1C(=O)C2=C(C=C(C=C2)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=C3C=CC=C(*)C3=CC=C2)C1=O,3.051
*N1C(=O)C2=C(C=C(C=C2)C(=O)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C3OCCOCCOC4=C(OCCOCCOC3=C2)C=CC(*)=C4)C1=O,2.369
FC(F)(F)C(C1=CC2=C(OC(=N2)C2=CC=C(OC3=C4C5C6=C(C=CC=C6)C(C6=C5C=CC=C6)C4=C(OC4=CC=C(*)C=C4)C=C3)C=C2)C=C1)(C1=CC=C2OC(*)=NC2=C1)C(F)(F)F,1.427
CC1(C)CC(C)(C2=CC(=CC=C12)N1C(=O)C2=CC=C(C=C2C1=O)C(=O)C1=CC2=C(C=C1)C(=O)N(*)C2=O)C1=CC=C(*)C=C1,2.269
*C*,1.23
*CC(*)C,1.516
*CC(*)CC,1.259
*CC(*)CCC,1.115
*CC(*)C(C)C,1.249
*CC(*)CCCC,1.354
*CC(*)CC(C)C,1.315
*CC(*)CCCCC,1.307
*CC(*)CCC(C)C,1.454
*CC(*)CCC(C)CC,1.769
*CC(*)CCCCCCC,1.333
*CC(*)CCCCCCCC,1.326
*CC(*)(C)C,2.248
*CC(*)(C)CC,1.683
*CCC(*)(C)C,1.445
*CCCC(*)(C)C,1.921
*CCCC(*)(C)CC,1.532
*CCCCCCCC(*)C,1.17
*CC(*)C1CC1,1.479
*CC(*)CC1CCCCC1,1.8
*CC1CCC(*)C1,2.156
*CC(*)CCCCCCCCCC,1.142
*CC(*)CCCCCCCCCCCC,1.388
*CC(*)CCCCCCCCCCCCCCCC,1.302
*CC(*)C(C)CC,1.405
*CC(*)CC(C)CC,1.329
*CC(*)CC(C)(C)C,1.354
*/C=C/CCC*,1.229
*/C=C/CC*,1.039
*/C=C/CC*,1.209
*/C=C/CCCCCCCC*,1.109
*CC(*)CCCCCCCCCCCCCCCCCCCC,1.278
*/C=C/CCCCCCCCCC*,0.857
*CC(*)CCCCCCCCCCCCCC,1.549
*/C=C/CCCCCC*,1.002
*CC(*)CCCCCCCCCCCCC,1.394
*CC(*)CCCCCCCCCCC,1.309
*CC(*)CCCCCCCCC,1.312
*CC(*)C1CC=CCC1,1.759
*C1CCC1*,2.065
*/C=C/*,1.161
*/C=C/CCCCC*,0.879
*/C=C/C(C*)C(C)CC,1.371
*/C=C/CCCCCCCCCC*,0.964
*/C=C/*,0.892
*CC1(*)CCCCC1,1.667
*CC/C=C(/*)C(C)(C)C,1.845
*CC(*)c1ccccc1,2.787
*CC(*)c1ccccc1C,1.627
*CC(*)c1ccccc1CC,1.686
*CC(*)c1ccccc1COC,1.85
*CC(*)c1ccccc1COCC,1.701
*CC(*)c1ccccc1COCCC,1.52
*CC(*)c1ccccc1COC(C)C,1.472
*CC(*)c1ccccc1COCCCC,1.496
*CC(*)c1ccccc1COCCCCC,1.681
*CC(*)c1ccccc1COCCC(C)C,1.55
*CC(*)c1ccccc1COCc1ccccc1,1.87
*CC(*)c1ccccc1COCCc1ccccc1,2.083
*CC(*)c1ccccc1C(=O)NC,1.858
*CC(*)c1ccccc1C(=O)N(C)C,1.606
*CC(*)c1ccccc1C(=O)Nc1ccccc1,1.35
*CC(*)c1ccccc1C(=O)O,2.233
*CC(*)c1ccccc1C(=O)OC,2.038
*CC(*)c1ccccc1C(=O)OCC,1.878
*CC(*)c1ccccc1C(=O)OCCC,1.635
*CC(*)c1ccccc1C(=O)OC(C)C,1.439
*CC(*)c1ccccc1C(=O)OCCCC,1.578
*CC(*)c1ccccc1C(=O)OCC(C)C,1.651
*CC(*)c1ccccc1C(=O)OCCCCC,1.753
*CC(*)c1ccccc1C(=O)OCCC(C)C,1.455
*CC(*)c1ccccc1C(=O)OCCCCCC,1.647
*CC(*)c1ccccc1C(=O)Oc1ccccc1,1.46
