SMILES,TC
*N1C(=O)C2=C(C=C(C=C2)C(=O)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C3OCCOCCOC4=C(OCCOCCOC3=C2)C=CC(*)=C4)C1=O,0.275
CC1(C)CC(C)(C2=CC(=CC=C12)N1C(=O)C2=CC=C(C=C2C1=O)C(=O)C1=CC2=C(C=C1)C(=O)N(*)C2=O)C1=CC=C(*)C=C1,0.219
*C*,0.563
*CC(*)C,0.252
*CC(*)CC,0.236
*CC(*)CCC,0.26
*CC(*)C(C)C,0.177
*CC(*)CCCC,0.225
*CC(*)CC(C)C,0.214
*CC(*)CCCCC,0.244
*CC(*)CCC(C)C,0.227
*CC(*)CCC(C)CC,0.229
*CC(*)CCCCCCC,0.292
*CC(*)CCCCCCCC,0.302
*CC(*)(C)C,0.201
*CC(*)(C)CC,0.168
*CCC(*)(C)C,0.182
*CC(C)C(*)(C)C,0.202
*CCCC(*)(C)C,0.223
*CCCC(*)(C)CC,0.245
*CCCCCCCC(*)C,0.339
*CC(*)C1CC1,0.172
*CC(*)C1CCC1,0.216
*CC(*)C1CCCC1,0.207
*CC(*)CC1CCCC1,0.239
*CC(*)C1CCCCC1,0.203
*CC(*)CC1CCCCC1,0.203
*CC(*)Cc1ccccc1,0.205
*CC(*)CCc1ccccc1,0.188
*CC(*)C(C)c1ccccc1,0.148
*CC1CCC(*)C1,0.31
*CC(*)CCCCCC,0.241
*CC(*)CCCCCCCCCC,0.362
*CC(*)CCCCCCCCCCCC,0.321
*CC(*)CCCCCCCCCCCCCCCC,0.365
*CC(*)CCCC(C)C,0.257
*CC(*)C(C)CC,0.192
*CC(*)C(CC)CC,0.176
*CC(*)CC(CC)CC,0.23
*CC(*)CC(C)CC,0.19
*CC(*)CC(C)(C)C,0.147
*CC(*)CC(C)(C)CC,0.185
*CC(*)CCCC(C)(C)C,0.207
*CC(*)CCC1CCCCC1,0.212
*CC(*)CCCC1CCCCC1,0.248
*CC1(*)CCC(C)CC1,0.155
*CC(*)(C)CCC,0.165
*/C=C/CCC*,0.267
*/C=C/CC*,0.251
*/C=C/CC*,0.265
*/C=C/CC*,0.255
*C(*)C,0.207
*CCC(C)C(*)C,0.24
*CCC1CCCC1*,0.302
*/C=C/CCCCCCCC*,0.369
*CC(*)CCCCCCCCCCCCCCCCCCCC,0.371
*CC(*)CCCCCCCCCCCCCC,0.394
*/C=C/CCCCCC*,0.36
*CC(*)C(C)(C)C,0.121
*CC(*)CCCCCCCCCCCCC,0.348
*C(*)CC,0.212
*CC(*)CCCCCCCCCCC,0.326
*CC(*)CCCCCCCCC,0.33
*CC(*)C1CCCC(C)C1,0.19
*CC(*)C1CCC(C)CC1,0.202
*CC(*)C1CC=CCC1,0.178
*CC/C=C(/*)CCCCCCC,0.276
*CC/C=C(/*)C(C)C,0.21
*/C=C/CCC*,0.27
*CC(*)CCC(C)(C)C,0.194
*C1CCC1*,0.169
*/C=C/*,0.221
*/C=C/CCCCC*,0.282
*/C=C/C1CCC(*)C1,0.257
*/C=C/C(C*)C(C)CC,0.201
*CC/C=C(/*)CCC,0.23
*/C=C/CCCCCCCCCC*,0.394
*/C=C/*,0.211
*CC1(*)CCCCC1,0.165
*/C=C/C(C)CCCCC*,0.254
*CC/C=C(/*)C(C)(C)C,0.212
*CC(*)c1ccccc1,0.188
*CC(*)c1ccccc1C,0.198
*CC(*)c1ccccc1CC,0.189
*CC(*)c1ccccc1COC,0.216
*CC(*)c1ccccc1COCC,0.17
*CC(*)c1ccccc1COCCC,0.208
*CC(*)c1ccccc1COC(C)C,0.163
*CC(*)c1ccccc1COCCCC,0.209
*CC(*)c1ccccc1COCCCCC,0.18
*CC(*)c1ccccc1COCCC(C)C,0.185
*CC(*)c1ccccc1COCc1ccccc1,0.203
*CC(*)c1ccccc1COCCc1ccccc1,0.2
*CC(*)c1ccccc1C(=O)NC,0.198
*CC(*)c1ccccc1C(=O)N(C)C,0.165
*CC(*)c1ccccc1C(=O)Nc1ccccc1,0.167
*CC(*)c1ccccc1C(=O)OC,0.183
*CC(*)c1ccccc1C(=O)OCC,0.186
*CC(*)c1ccccc1C(=O)OCCC,0.18
*CC(*)c1ccccc1C(=O)OC(C)C,0.174
*CC(*)c1ccccc1C(=O)OCCCC,0.195
*CC(*)c1ccccc1C(=O)OCC(C)C,0.17
*CC(*)c1ccccc1C(=O)OCCCCC,0.202
*CC(*)c1ccccc1C(=O)OCCC(C)C,0.193
*CC(*)c1ccccc1C(=O)OCCCCCC,0.217
*CC(*)c1ccccc1C(=O)Oc1ccccc1,0.165
*CC(*)c1ccccc1C(=O)OCCN(C)C,0.181
*CC(*)c1ccc(C(=O)OCCN(C)C)cc1,0.247
*CC(*)c1ccccc1OC,0.201
*CC(*)c1ccccc1Cl,0.151
*CC(*)c1ccccc1F,0.189
*CC(*)c1cccc(C)c1,0.208
*CC(*)c1cccc(CC)c1,0.19
*CC(*)c1cccc(-c2ccc(-c3ccccc3)cc2)c1,0.192
*CC(*)c1cccc(Cl)c1,0.142
*CC(*)c1cccc(F)c1,0.147
*CC(*)c1ccc(C)cc1,0.192
*CC(*)c1ccc(CC)cc1,0.206
*CC(*)c1ccc(C(C)C)cc1,0.221
*CC(*)c1ccc(CCCC)cc1,0.223
*CC(*)c1ccc(C(C)(C)C)cc1,0.194
*CC(*)c1ccc(C(C)CC)cc1,0.23
*CC(*)c1ccc(CCCCCC)cc1,0.24
*CC(*)c1ccc(CCCCCCCC)cc1,0.288
*CC(*)c1ccc(CCCCCCCCC)cc1,0.267
*CC(*)c1ccc(CCCCCCCCCC)cc1,0.295
*CC(*)c1ccc(CCCCCCCCCCCC)cc1,0.317
*CC(*)c1ccc(CCCCCCCCCCCCCC)cc1,0.313
*CC(*)c1ccc(CCCCCCCCCCCCCCCC)cc1,0.321
*CC(*)c1ccc(CCCCCCCCCCCCCCCCCC)cc1,0.359
