SMILES,TG
*C*,219.15
*CC(*)C,270.15
*CC(*)CC,249.05
*CC(*)CCC,236.15
*CC(*)C(C)C,333.15
*CC(*)CCCC,223.15
*CC(*)CC(C)C,308.35
*CC(*)CCCCC,227.65
*CC(*)CCCCCCC,226.15
*CC(*)CCCCCCCC,238.15
*CC(*)(C)C,201.15
*CC(*)(C)CC,268.15
*CCC(*)(C)C,261.15
*CC(C)C(*)(C)C,310.15
*CCCC(*)(C)C,253.15
*CCCC(*)(C)CC,250.15
*CCCCCCCC(*)C,215.15
*CC(*)C1CCCC1,348.15
*CC(*)CC1CCCC1,333.15
*CC(*)C1CCCCC1,392.85
*CC(*)CC1CCCCC1,348.15
*CC(*)Cc1ccccc1,343.15
*CC(*)CCc1ccccc1,283.15
*CC(*)CCCCCC,219.15
*CC(*)CCCCCCCCCC,267.15
*CC(*)CCCCCCCCCCCC,283.15
*CC(*)CCCCCCCCCCCCCCCC,328.15
*CC(*)CC(C)(C)C,463.15
*CC(*)CCC1CCCCC1,313.15
*CC(*)(C)CCC,300.15
*/C=C/CCC*,173.55
*/C=C/CC*,204.15
*/C=C/CC*,170.15
*/C=C/CC*,182.15
*CCC(C)C(*)C,247.15
*CC(*)CCCCCCCCCCCCCC,249.15
*/C=C/CCCCCC*,195.15
*/C=C/CCC*,180.65
*CC(*)C1CCCC(C)C1,414.15
*CC(*)C1CCC(C)CC1,405.15
*CC/C=C(/*)CCCCCCC,190.15
*CC/C=C(/*)C(C)C,226.15
*/C=C/CCC*,168.15
*/C=C/C1CCC(*)C1,304.15
*/C=C/CCCCCCCCCC*,220.15
*/C=C/*,269.15
*CC1(*)CCCCC1,373.15
*CC/C=C(/*)C(C)(C)C,298.15
*CC(*)c1ccccc1,371.15
*CC(*)c1ccccc1C,404.15
*CC(*)c1ccccc1COC,362.15
*CC(*)c1ccccc1COCC,347.15
*CC(*)c1ccccc1COCCC,370.15
*CC(*)c1ccccc1COC(C)C,361.15
*CC(*)c1ccccc1COCCCC,340.15
*CC(*)c1ccccc1COCCCCC,320.15
*CC(*)c1ccccc1COCCC(C)C,351.15
*CC(*)c1ccccc1COCc1ccccc1,345.15
*CC(*)c1ccccc1COCCc1ccccc1,336.15
*CC(*)c1ccccc1C(=O)NC,462.15
*CC(*)c1ccccc1C(=O)N(C)C,463.15
*CC(*)c1ccccc1C(=O)Nc1ccccc1,464.15
*CC(*)c1ccccc1C(=O)O,450.15
*CC(*)c1ccccc1C(=O)OC,403.15
*CC(*)c1ccccc1C(=O)OCC,391.15
*CC(*)c1ccccc1C(=O)OCCC,381.15
*CC(*)c1ccccc1C(=O)OC(C)C,419.15
*CC(*)c1ccccc1C(=O)OCCCC,339.15
*CC(*)c1ccccc1C(=O)OCC(C)C,400.15
*CC(*)c1ccccc1C(=O)OCCCCC,365.15
*CC(*)c1ccccc1C(=O)OCCC(C)C,341.15
*CC(*)c1ccccc1C(=O)OCCCCCC,318.15
*CC(*)c1ccccc1C(=O)Oc1ccccc1,397.15
*CC(*)c1ccccc1C(=O)OCCN(C)C,342.15
*CC(*)c1ccc(C(=O)OCCN(C)C)cc1,364.15
*CC(*)c1ccccc1Cl,392.15
*CC(*)c1ccccc1F,433.65
*CC(*)c1cccc(C)c1,348.15
*CC(*)c1cccc(Cl)c1,363.15
*CC(*)c1cccc(F)c1,359.15
*CC(*)c1ccc(C)cc1,376.15
*CC(*)c1ccc(CC)cc1,344.55
*CC(*)c1ccc(C(C)C)cc1,335.55
*CC(*)c1ccc(CCCC)cc1,279.15
*CC(*)c1ccc(C(C)(C)C)cc1,411.15
*CC(*)c1ccc(CCCCCC)cc1,246.15
*CC(*)c1ccc(CCCCCCCC)cc1,228.15
*CC(*)c1ccc(CCCCCCCCC)cc1,220.15
*CC(*)c1ccc(CCCCCCCCCC)cc1,208.15
*CC(*)c1ccc(CCCCCCCCCCCC)cc1,221.15
*CC(*)c1ccc(CCCCCCCCCCCCCC)cc1,237.15
*CC(*)c1ccc(CCCCCCCCCCCCCCCC)cc1,277.65
*CC(*)c1ccc(CCCCCCCCCCCCCCCCCC)cc1,305.15
*CC(*)c1ccc(-c2ccccc2)cc1,434.65
*CC(*)c1ccc(COCCOCC)cc1,273.15
*CC(*)c1ccc(C#N)cc1,453.15
*CC(*)c1ccc(Cl)cc1,397.15
*CC(*)c1ccc(Br)cc1,405.15
*CC(*)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,315.15
*CC(*)c1ccc(/C(C)=N/O)cc1,407.15
*CC(*)c1ccc(C(C)(C)O)cc1,443.15
*CC(*)c1ccc(C(C)(O)CC)cc1,463.15
*CC(*)c1ccc(C(C)(O)CCC)cc1,408.15
*CC(*)c1ccc(C(C)(O)CCCC)cc1,363.15
*CC(*)c1ccc(C(C)(O)CCCCC)cc1,373.15
*CC(*)c1ccc(C(O)CCN(C)C)cc1,316.15
*CC(*)c1ccc(C(O)CCN2CCCCC2)cc1,327.15
*CC(*)c1ccc(C(O)CCN2CCOCC2)cc1,323.15
*CC(*)c1ccc(COC)cc1,350.15
*CC(*)c1ccc(COCCO)cc1,319.15
*CC(*)c1ccc(COCCC)cc1,295.15
*CC(*)c1ccc(COCCCC)cc1,283.15
*CC(*)c1ccc(COCCCCO)cc1,293.15
*CC(*)c1ccc(COC(C)CC)cc1,313.15
*CC(*)c1ccc(COCCCCCC)cc1,253.15
*CC(*)c1ccc(COCCOCCCC)cc1,235.15
*CC(*)c1ccc(C(=O)N(C)C)cc1,398.15
*CC(*)c1ccc(C(=O)N(CC)CC)cc1,375.15
*CC(*)c1ccc(C(=O)N2CCCCC2)cc1,387.15
*CC(*)c1ccc(C(=O)CCN2CCCCC2)cc1,311.15
*CC(*)c1ccc(C(=O)N2CCOCC2)cc1,400.15
*CC(*)c1ccc(C(=O)OC)cc1,395.15
*CC(*)c1ccc(C(=O)OCC)cc1,367.15
*CC(*)c1ccc(C(=O)OCCC)cc1,365.15
*CC(*)c1ccc(C(=O)OC(C)C)cc1,368.15
*CC(*)c1ccc(C(=O)OCCCC)cc1,349.15
*CC(*)c1ccc(C(=O)OCC(C)C)cc1,363.15
*CC(*)c1ccc(C(=O)OCCCCCC)cc1,339.15
*CC(*)c1ccc(C(=O)CC)cc1,375.15
*CC(*)c1ccc(C(=O)CCC)cc1,347.15
*CC(*)c1ccc(C(=O)CCCC)cc1,343.15
*CC(*)c1ccc(C(=O)CCCCC)cc1,339.15
*CC(*)c1ccc(C(=O)CCCCCCC)cc1,323.15
*CC(*)c1ccc(C(=O)Cc2ccccc2)cc1,351.15
*CC(*)c1ccc(C(=O)c2ccccc2)cc1,371.15
*CC(*)c1ccc(C(=O)c2ccc(C)cc2)cc1,372.15
*CC(*)c1ccc(F)cc1,368.15
*CC(*)c1ccc(I)cc1,431.15
*CC(*)c1ccc(OC)cc1,381.55
*CC(*)c1ccc(OCC)cc1,359.15
*CC(*)c1ccc(OCCC)cc1,343.15
*CC(*)c1ccc(OCCCC)cc1,325.15
*CC(*)c1ccc(OCCC(C)C)cc1,330.15
*CC(*)c1ccc(Oc2ccccc2)cc1,358.15
*CC(*)c1ccc(S(=O)(=O)OCCC)cc1,490.15
*CC(*)c1ccc([Si](C)(C)C)cc1,409.15
*CC(*)c1c(Cl)cccc1Cl,438.15
*CC(*)c1ccc(C)cc1C,385.15
*CC(*)c1ccc(Cl)cc1C,418.15
*CC(*)c1ccc(Cl)cc1Cl,408.15
*CC(*)c1cc(C)ccc1C,416.15
*CC(*)c1cc(C(C)(C)C)ccc1C,360.15
*CC(*)c1cc(Cl)ccc1Cl,381.15
