SMILES,TM
*C*,404.15
*CC(*)C,437.15
*CC(*)CC,388.65
*CC(*)CCC,353.15
*CC(*)C(C)C,579.15
*CC(*)CCCC,303.15
*CC(*)CC(C)C,505.15
*CC(*)CCCCC,292.15
*CC(*)CCC(C)C,403.15
*CC(*)CCC(C)CC,334.15
*CC(*)CCCCCCC,293.65
*CC(*)CCCCCCCC,307.15
*CC(*)(C)C,278.15
*CCC(*)(C)C,341.15
*CCCCCCCC(*)C,268.15
*CC(*)C1CCCC1,565.15
*CC(*)CC1CCCC1,490.65
*CC(*)C1CCCCC1,623.15
*CC(*)CC1CCCCC1,503.15
*CC(*)Cc1ccccc1,508.15
*CC(*)CCc1ccccc1,432.15
*CC(*)C(C)c1ccccc1,633.15
*CC1CCC(*)C1,411.65
*CC(*)CCCCCC,293.15
*CC(*)CCCCCCCCCC,318.15
*CC(*)CCCCCCCCCCCC,328.15
*CC(*)CCCCCCCCCCCCCCCC,341.15
*CC(*)CCCC(C)C,453.15
*CC(*)C(C)CC,635.15
*CC(*)C(CC)CC,672.65
*CC(*)CC(CC)CC,513.15
*CC(*)CC(C)CC,472.15
*CC(*)CC(C)(C)C,608.15
*CC(*)CC(C)(C)CC,623.15
*CC(*)CCCC(C)(C)C,377.15
*CC(*)CCC1CCCCC1,427.15
*CC(*)CCCC1CCCCC1,396.15
*CC1(*)CCC(C)CC1,468.15
*/C=C/CCC*,296.15
*/C=C/CC*,388.65
*/C=C/CC*,270.65
*/C=C/CC*,306.15
*C(*)C,420.65
*CCC(C)C(*)C,408.15
*CCC1CCCC1*,458.15
*/C=C/CCCCCCCC*,343.65
*CC(*)CCCCCCCCCCCCCCCCCCCC,363.15
*/C=C/CCCCCCCCCC*,353.15
*CC(*)CCCCCCCCCCCCCC,338.15
*/C=C/CCCCCC*,311.15
*/C=C/CCC*,296.15
*CC(*)C(C)(C)C,533.15
*/C=C/CCCC*,324.15
*CC(*)CCCCCCCCCCCCC,331.15
*C(*)CC,369.15
*CC(*)CCCCCCCCCCC,325.65
*CC(*)CCCCCCCCC,311.15
*CC(*)C1CCCC(C)C1,628.15
*CC(*)C1CCC(C)CC1,523.15
*CC(*)C1CC=CCC1,691.15
*/C=C/CCC*,232.15
*C1CCC1*,473.15
*/C=C/CCCCC*,324.15
*/C=C/C1CCC(*)C1,475.15
*/C=C/C(C*)C(C)CC,448.15
*CC/C=C(/*)CCC,315.15
