SMILES,VISC
*CCC(Cl)C(*)Cl,13.944246
*CC(*)C#N,10.829827
*CCS*,6.41667
*CCc1ccc(*)s1,7.234304
*c1cccc(*)c1,12.638765
*CC(*)(C)C#N,19.490297
*/C=C/*,16.58312
*Oc1cccc(*)c1,10.713916
*SC(*)(F)F,107.157089
*CCc1ccc(*)o1,11.740088
*/C=C/CC*,24.808563
*/C=C/CC*,15.314006
*CC(*)n1cncn1,6.353685
*/C=C/CCC*,26.958168
*CCC(*)=O,12.24202
*CC(*)n1ccnc1,6.858409
*CC(*)C(C)=O,12.071722
*CC(*)O[N+](=O)[O-],16.764388
*C*,19.753991
*CC(*)CC,16.854611
*CC(C)(C)O*,15.810841
*CC(*)OCC,41.492707
*CC(*)OC,21.109391
*CC(*)C,21.993749
*CO*,92.966616
*CCN*,25.752168
*C(F)(F)C(*)(F)OC(F)C(F)F,59.900387
*CC(*)(C)C,58.370652
*CC(*)O,13.334801
*c1ccc(C(Cl)(Cl)C(*)Cl)cc1,8.635864
*/C=C/c1ccc(*)cc1,4.747523
*/C(Cl)=C(/*)c1ccccc1,3.651553
*Sc1c(C)cc(*)cc1C,8.241478
*Oc1c(C)cc(*)cc1C,5.142699
*CC(*)C(=O)c1ccc(Br)cc1,20.027057
*C1CCC(*)C1,26.226556
*Nc1ccc(*)cc1C,60.60545
*CC(*)OC(=O)CC,46.926225
*c1ccc(C(F)(F)C(*)(F)F)cc1,27.984514
*CC(*)CCC,12.134523
*C1Cc2ccccc2C1*,11.23645
*/C=C(/*)c1ccccc1C(F)(F)F,14.435003
*CC(O*)c1ccccc1,21.463705
*CCC([2H])C(*)([2H])C,21.432849
*C(F)(F)C(*)(F)c1ccccc1,5.66126
*OC1CCCCC1*,22.261336
*CC(C)(C)CS(*)(=O)=O,15.848155
*CC(*)CCCC,46.663078
*CC(*)CC(C)C,12.153146
*CC(*)OC(C)C,53.04097
*CC(*)C(C)C,24.836403
*CCCC(*)(C)C,13.251797
*CC(*)N1CCCC1=O,8.907742
*CC(*)OC(=O)c1ccccc1,11.44111
*C1C2CCC(C2)C1*,11.712241
*CC/C=C(/*)c1ccccc1,10.636046
*CCCCCC(=O)O*,28.153448
*CC(*)n1cc2ccccc2n1,19.822395
*/C(CC)=C(/*)c1ccccc1,22.467158
