SMILES,YOUNG
CC1(C)CC(CC(C)(C*)C1)N1C(=O)C2=CC=C(C=C2C1=O)C1=CC2=C(C=C1)C(=O)N(*)C2=O,5.381
*N1C(=O)C2=C(C=C(C=C2)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=C3C=CC=C(*)C3=CC=C2)C1=O,7.94
*N1C(=O)C2=C(C=C(C=C2)C(=O)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C3OCCOCCOC4=C(OCCOCCOC3=C2)C=CC(*)=C4)C1=O,6.278
FC(F)(F)C(C1=CC2=C(OC(=N2)C2=CC=C(OC3=C4C5C6=C(C=CC=C6)C(C6=C5C=CC=C6)C4=C(OC4=CC=C(*)C=C4)C=C3)C=C2)C=C1)(C1=CC=C2OC(*)=NC2=C1)C(F)(F)F,3.795
CC1(C)CC(C)(C2=CC(=CC=C12)N1C(=O)C2=CC=C(C=C2C1=O)C(=O)C1=CC2=C(C=C1)C(=O)N(*)C2=O)C1=CC=C(*)C=C1,5.79
*C*,3.384
*CC(*)C,4.01
*CC(*)CC,3.346
*CC(*)CCC,2.975
*CC(*)C(C)C,3.326
*CC(*)CCCC,3.523
*CC(*)CC(C)C,3.436
*CC(*)CCCCC,3.422
*CC(*)CCC(C)C,3.8
*CC(*)CCC(C)CC,4.583
*CC(*)CCCCCCC,3.551
*CC(*)CCCCCCCC,3.564
*CC(*)(C)C,5.308
*CC(*)(C)CC,4.17
*CCC(*)(C)C,3.87
*CCCC(*)(C)C,5.032
*CCCC(*)(C)CC,4.095
*CCCCCCCC(*)C,3.225
*CC(*)C1CC1,3.908
*CC(*)CC1CCCCC1,4.669
*CC1CCC(*)C1,5.768
*CC(*)CCCCCCCCCC,3.1
*CC(*)CCCCCCCCCCCC,3.727
*CC(*)CCCCCCCCCCCCCCCC,3.557
*CC(*)C(C)CC,3.723
*CC(*)CC(C)CC,3.438
*CC(*)CC(C)(C)C,3.253
*/C=C/CCC*,3.325
*/C=C/CC*,2.816
*/C=C/CC*,3.222
*/C=C/CCCCCCCC*,3.036
*CC(*)CCCCCCCCCCCCCCCCCCCC,3.505
*/C=C/CCCCCCCCCC*,2.402
*CC(*)CCCCCCCCCCCCCC,4.134
*/C=C/CCCCCC*,2.76
*CC(*)CCCCCCCCCCCCC,3.773
*CC(*)CCCCCCCCCCC,3.538
*CC(*)CCCCCCCCC,3.542
*CC(*)C1CC=CCC1,3.984
*C1CCC1*,5.27
*/C=C/*,3.084
*/C=C/CCCCC*,2.445
*/C=C/C(C*)C(C)CC,3.64
*/C=C/CCCCCCCCCC*,2.683
*/C=C/*,2.435
*CC1(*)CCCCC1,4.344
*CC/C=C(/*)C(C)(C)C,4.619
*CC(*)c1ccccc1,6.746
*CC(*)c1ccccc1C,4.111
*CC(*)c1ccccc1CC,4.156
*CC(*)c1ccccc1COC,4.771
*CC(*)c1ccccc1COCC,4.431
*CC(*)c1ccccc1COCCC,3.981
*CC(*)c1ccccc1COC(C)C,3.774
*CC(*)c1ccccc1COCCCC,3.918
*CC(*)c1ccccc1COCCCCC,4.333
*CC(*)c1ccccc1COCCC(C)C,4.106
*CC(*)c1ccccc1COCc1ccccc1,4.815
*CC(*)c1ccccc1COCCc1ccccc1,5.389
*CC(*)c1ccccc1C(=O)NC,4.871
*CC(*)c1ccccc1C(=O)N(C)C,4.119
*CC(*)c1ccccc1C(=O)Nc1ccccc1,3.572
*CC(*)c1ccccc1C(=O)O,5.784
*CC(*)c1ccccc1C(=O)OC,5.384
*CC(*)c1ccccc1C(=O)OCC,5.007
*CC(*)c1ccccc1C(=O)OCCC,4.287
*CC(*)c1ccccc1C(=O)OC(C)C,3.687
*CC(*)c1ccccc1C(=O)OCCCC,4.118
*CC(*)c1ccccc1C(=O)OCC(C)C,4.33
*CC(*)c1ccccc1C(=O)OCCCCC,4.58
*CC(*)c1ccccc1C(=O)OCCC(C)C,3.858
*CC(*)c1ccccc1C(=O)OCCCCCC,4.343
*CC(*)c1ccccc1C(=O)Oc1ccccc1,3.793
*CC(*)c1ccccc1C(=O)OCCN(C)C,5.155
*CC(*)c1ccc(C(=O)OCCN(C)C)cc1,5.768
*CC(*)c1cccc(C)c1,1.645
*CC(*)c1cccc(CC)c1,4.202
*CC(*)c1cccc(-c2ccc(-c3ccccc3)cc2)c1,7.947
*CC(*)c1cccc(Cl)c1,4.937
*CC(*)c1cccc(F)c1,4.556
*CC(*)c1ccc(C)cc1,7.4
*CC(*)c1ccc(C(C)C)cc1,4.658
*CC(*)c1ccc(CCCC)cc1,5.35
*CC(*)c1ccc(C(C)(C)C)cc1,4.596
*CC(*)c1ccc(C(C)CC)cc1,5.279
*CC(*)c1ccc(CCCCCC)cc1,4.944
*CC(*)c1ccc(CCCCCCCC)cc1,5.176
*CC(*)c1ccc(CCCCCCCCC)cc1,4.685
*CC(*)c1ccc(CCCCCCCCCC)cc1,4.641
*CC(*)c1ccc(CCCCCCCCCCCC)cc1,4.521
*CC(*)c1ccc(CCCCCCCCCCCCCC)cc1,4.523
*CC(*)c1ccc(CCCCCCCCCCCCCCCC)cc1,4.781
*CC(*)c1ccc(CCCCCCCCCCCCCCCCCC)cc1,4.572
*CC(*)c1ccc(-c2ccccc2)cc1,6.839
*CC(*)c1ccc(Cl)cc1,6.653
*CC(*)c1ccc(/C(C)=N/O)cc1,5.531
*CC(*)c1ccc(C(C)(C)O)cc1,5.659
*CC(*)c1ccc(COC)cc1,5.951
*CC(*)c1ccc(COCCC)cc1,5.279
*CC(*)c1ccc(COCCCCCC)cc1,4.956
*CC(*)c1ccc(COCCOCCCC)cc1,5.607
*CC(*)c1ccc(C(=O)N(C)C)cc1,6.723
*CC(*)c1ccc(C(=O)N(CC)CC)cc1,7.035
*CC(*)c1ccc(C(=O)N2CCCCC2)cc1,4.278
*CC(*)c1ccc(C(=O)CCN2CCCCC2)cc1,5.86
*CC(*)c1ccc(C(=O)N2CCOCC2)cc1,7.02
*CC(*)c1ccc(C(=O)OC)cc1,5.699
*CC(*)c1ccc(F)cc1,6.813
*CC(*)c1ccc(I)cc1,7.971
*CC(*)c1ccc(N(C)C)cc1,7.319
*CC(*)c1ccc(OCC)cc1,4.888
*CC(*)c1ccc(OCCC)cc1,4.542
*CC(*)c1ccc(OCCCC)cc1,4.924
*CC(*)c1ccc(OCCC(C)C)cc1,4.613
*CC(*)c1ccc(C)cc1C,2.745
*CC(*)c1ccc(C(C)C)cc1C(C)C,3.86
*CC(*)c1ccc(F)cc1C,2.855
*CC(*)c1ccc(Cl)cc1C,4.47
*CC(*)c1ccc(Cl)cc1Cl,4.787
*CC(*)c1cc(C)ccc1C,7.264
*CC(*)c1cc(C(C)(C)C)ccc1C,4.845
*CC(*)c1cc(C(C)C)ccc1C(C)C,4.369
*CC(*)c1cc(Cl)ccc1Cl,1.254
*CC(*)c1cc(F)ccc1F,8.444
*CC(*)c1cc(C)ccc1F,8.231
*CC(*)c1cc(Br)ccc1OCCCC,6.314
*CC(*)c1cc(Br)ccc1OCC,8.645
*CC(*)c1cc(C)cc(C)c1,3.144
*CC(*)c1c(F)c(F)c(F)c(F)c1F,8.99
*CC(*)(C)c1ccccc1,4.338
*CC(*)(C)c1ccc(C(C)C)cc1,4.419
*C(F)(F)C(*)(F)c1ccccc1,5.732
*CC(*)c1cccc2ccccc12,3.295
*CC(*)c1ccc(C(C)=O)cc1,6.041
*CC(*)(C(=O)OC)c1ccccc1,5.805
*CC(*)(C)c1ccc(C)cc1,5.347
*CC(*)n1cc2ccccc2n1,0.369
*CC(c1ccccn1)C(c1ccccc1)C(*)c1ccccn1,6.192
*CC(*)c1ccc(O)cc1,6.772
*CC(*)c1ccc(OC(C)=O)cc1,4.483
*CC(*)c1ccc(CCC)cc1,5.497
*CC(*)c1ccc(COCCCCCCOc2ccc(-c3ccc(OC)cc3)cc2)cc1,6.122
*CC(*)c1ccc(COCC(CC)CCCC)cc1,4.753
*CC(*)c1ccc(COCCOCCCCCCCC)cc1,4.801
*CC(CC(*)(C#N)C(=O)OC)c1ccccc1,6.271
*CC(*)c1ccc(C(=O)O)c(C(=O)O)c1,6.498
*C([2H])([2H])C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],6.63
*CC(*)O,5.686
*CC(*)C=O,6.632
*CC(*)OC(=O)CCCCCCCCCCC,3.131
*CC(*)OC(=O)CCCCCCCCCCCCCCC,3.149
*CC(*)OC(=O)CCCCCCCCCCCCCCCCC,3.372
*CC(*)C(C)=O,3.958
*CC(*)C(=O)C(C)C,3.797
*CC(*)(C)C(C)=O,3.779
*CC(*)C#N,4.704
*CC(*)(C)C#N,4.728
*CC(*)c1ccccn1,7.669
*CC(*)OC,4.284
*CC(*)OCC,3.981
*CC(*)OC(C)=O,3.268
*CC(*)OC(=O)CC,4.129
*CC(*)OC(=O)c1ccccc1,3.815
*CC(*)CCCN(CC(C)C)CC(C)C,5.099
*CC(*)O[N+](=O)[O-],5.281
*/C=C/C(C)C(*)C(=O)OC,3.712
*CC(*)OC(C)C,3.15
*CC(*)CCc1ccccc1C,3.915
*CC(*)CCc1ccc(C)cc1,6.418
*CC(*)Cc1cc(C)ccc1C,6.73
*CC(*)Cc1ccc(C)c(C)c1,3.789
*CC(*)Cc1cc(C)cc(C)c1,4.774
*CC(*)C(=O)C1CCCCC1,4.283
*CC(*)C(=O)c1ccccc1O,5.709
*CC/C=C(/*)c1ccccc1,6.795
*CC(*)C(=O)c1ccc(C(C)(C)C)cc1,4.306
*CC(*)C(=O)c1ccc(CC)cc1,6.522
*CC(*)C(=O)c1ccc(C)cc1,7.396
*CC(*)OC(=O)c1ccc(OC(=O)CCC)cc1,4.611
*CC(*)OC(=O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,2.794
*CC(*)c1cccs1,4.965
*C1Cc2ccccc2C1*,3.869
*CCC/C=C(/*)c1ccc(OC)cc1,5.222
*CCC/C=C(/*)c1ccccc1,6.333
*CCC/C=C(/*)c1ccc(Cl)cc1,6.478
*CC(*)CNc1ccc([N+](=O)[O-])cc1,5.398
*CC(*)CNc1ccc([N+](=O)[O-])cn1,4.888
*CC(*)CNc1ccc([N+](=O)[O-])cc1C,5.794
*CC(*)CNc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,4.951
*CC(*)CNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],5.762
*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1OC(=O)CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,6.436
*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1,6.568
*CCC1CC(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)CC1*,7.226
*CC(*)n1ccnc1,4.838
*CC(*)OC(=O)CCCCCCCCCCCCCCCCCCCCC,3.71
*CC(*)OCCCCCCCCCCCCCCCCCC,3.721
*CC(*)OC(=O)c1ccc(C#N)cc1,5.776
*CC(*)OCC(C)(C)CC(C)C,4.461
